uniqueID,DELETE_UseName,DELETE_surname,DELETE_otherNames,DELETE_title,DELETE_commonName,DELETE_earlierOrLaterNames,division,state,DELETE_electionDate,electionDate,electionDay,electionMonth,electionYear,byElection,reasonCeasedToBeMember,changedSeat,ceasedToBeMemberDate,ceasedToBeMemberYear,ceasedToBeMemberMonth,ceasedToBeMemberDay,Comment
brucestanley1918,Stanley,Bruce,Stanley Melbourne,,,,Flinders,VIC,11.5.1918,1918-5-11,11,5,1918,Yes,Defeated,,1929-10-12,1929,10,12,
,,,,,,,Flinders,VIC,19.12.1931,1931-12-19,19,12,1931,No,Resigned,,1933-10-6,1933,10,6,
brumbyjohn1983,John,Brumby,John Mansfield,,,,Bendigo,VIC,5.3.1983,1983-3-5,5,3,1983,No,Defeated,,1990-3-24,1990,3,24,
bryantgordon1955,Gordon,Bryant,Gordon Munro,,,,Wills,VIC,10.12.1955,1955-12-10,10,12,1955,No,Retired,,1980-9-19,1980,9,19,
brysonwilliam1943,William,Bryson,William George,,,,Bourke,VIC,21.8.1943,1943-8-21,21,8,1943,No,Defeated,,1946-9-28,1946,9,28,
,,,,,,,Wills,VIC,10.12.1949,1949-12-10,10,12,1949,No,Defeated,,1955-12-10,1955,12,10,
buchananalexander1955,Alexander,Buchanan,Alexander Andrew,,,,McMillan,VIC,10.12.1955,1955-12-10,10,12,1955,No,Defeated,,1972-12-2,1972,12,2,
buchholzscott2010,Scott,Buchholz,Scott Andrew,,,,Wright,QLD,21.8.2010,2010-8-21,21,8,2010,No,,,,,,,
bungeymelville1974,Melville,Bungey,Melville Harold,,,,Canning,WA,18.5.1974,1974-5-18,18,5,1974,No,Defeated,,1983-3-5,1983,3,5,
burchellreginald1913,Reginald,Burchell,Reginald John,,,,Fremantle,WA,31.5.1913,1913-5-31,31,5,1913,No,Retired,,1922-11-6,1922,11,6,
burkeanna1998,Anna,Burke,Anna Elizabeth,,,,Chisholm,VIC,3.10.1998,1998-10-3,3,10,1998,No,Retired,,2016-5-9,2016,5,9,
burkeanthony2004,Anthony,Burke,Anthony Stephen,,,,Watson,NSW,9.10.2004,2004-10-9,9,10,2004,No,,,,,,,
burkethomas1943,Thomas,Burke,Thomas Patrick,,,,Perth,WA,21.8.1943,1943-8-21,21,8,1943,No,Defeated,,1955-12-10,1955,12,10,
burneylinda2016,Linda,Burney,Linda Jean,,,,Barton,NSW,2.7.2016,2016-7-2,2,7,2016,No,,,,,,,
burnsgeorge1913,George,Burns,George Mason,,,,Illawarra,NSW,31.5.1913,1913-5-31,31,5,1913,No,Defeated,,1917-5-5,1917,5,5,
burnswilliam1977,William,Burns,William George,,,,Isaacs,VIC,10.12.1977,1977-12-10,10,12,1977,No,Defeated,,1980-10-18,1980,10,18,
burrmax1975,Max,Burr,Maxwell Arthur,,Max,,Wilmot,TAS,13.12.1975,1975-12-13,13,12,1975,No,Until elected for Lyons ,1,1984-12-1,1984,12,1,
,,,,,,,Lyons,TAS,1.12.1984,1984-12-1,1,12,1984,No,Retired,,1993-2-8,1993,2,8,
buryleslie1956,Leslie,Bury,Leslie Harry Ernest,,,,Wentworth,NSW,8.12.1956,1956-12-8,8,12,1956,Yes,Retired,,1974-4-11,1974,4,11,
butlermark2007,Mark,Butler,Mark Christopher,,,,Port Adelaide,SA,24.11.2007,2007-11-24,24,11,2007,No,,,,,,,
butlerterri2014,Terri,Butler,Terri Megan,,,,Griffith,QLD,8.2.2014,2014-2-8,8,2,2014,Yes,,,,,,,
byrneanthony1999,Anthony,Byrne,Anthony Michael,,,,Holt,VIC,6.11.1999,1999-11-6,6,11,1999,Yes,,,,,,,
cadmanalan1974,Alan,Cadman,Alan Glyndwr,,,,Mitchell,NSW,18.5.1974,1974-5-18,18,5,1974,No,Retired,,2007-10-17,2007,10,17,
cairnsjim1955,Jim,Cairns,James Ford,,Jim,,Yarra,VIC,10.12.1955,1955-12-10,10,12,1955,No,Until elected for Lalor ,1,1969-10-25,1969,10,25,
,,,,,,,Lalor,VIC,25.10.1969,1969-10-25,25,10,1969,No,Retired,,1977-11-10,1977,11,10,
cairnskevin1963,Kevin,Cairns,Kevin Michael,,,,Lilley,QLD,30.11.1963,1963-11-30,30,11,1963,No,Defeated,,1972-12-2,1972,12,2,
,,,,,,,Lilley,QLD,18.5.1974,1974-5-18,18,5,1974,No,Defeated,,1980-10-18,1980,10,18,
calderstephen1966,Stephen,Calder,Stephen Edward,,,,Northern Territory,NT,26.11.1966,1966-11-26,26,11,1966,No,Retired,,1980-9-19,1980,9,19,
calwellarthur1940,Arthur,Calwell,Arthur Augustus,,,,Melbourne,VIC,21.9.1940,1940-9-21,21,9,1940,No,Retired,,1972-11-2,1972,11,2,
cameronarchie1934,Archie,Cameron,Archie Galbraith,,,,Barker,SA,15.9.1934,1934-9-15,15,9,1934,No,Died,,1956-8-9,1956,8,9,
cameronclyde1949,Clyde,Cameron,Clyde Robert,,,,Hindmarsh,SA,10.12.1949,1949-12-10,10,12,1949,No,Retired,,1980-9-19,1980,9,19,
camerondonaldalastair1949,Donald Alastair,Cameron,Donald Alastair,,Donald Alastair,,Oxley,QLD,10.12.1949,1949-12-10,10,12,1949,No,Defeated,,1961-12-9,1961,12,9,
camerondonaldcharles1919,Donald Charles,Cameron,Donald Charles,,Donald Charles,Later Sir Donald,Brisbane,QLD,13.12.1919,1919-12-13,13,12,1919,No,Defeated,,1931-12-19,1931,12,19,
camerondonaldjames1961,Donald James,Cameron,Donald James,,Donald James,,Lilley,QLD,9.12.1961,1961-12-9,9,12,1961,No,Defeated,,1963-11-30,1963,11,30,
camerondonaldmilner1966,Donald Milner,Cameron,Donald Milner,,Donald Milner,,Griffith,QLD,26.11.1966,1966-11-26,26,11,1966,No,Until elected for Fadden ,1,1977-12-10,1977,12,10,
,,,,,,,Fadden,QLD,10.12.1977,1977-12-10,10,12,1977,No,Defeated,,1983-3-5,1983,3,5,
,,,,,,,Moreton,QLD,5.11.1983,1983-11-5,5,11,1983,Yes,Defeated,,1990-3-24,1990,3,24,
camerondonaldnorman1901,Donald Norman,Cameron,Donald Norman,,Donald Norman,,Tasmania,TAS,29.3.1901,1901-3-29,29,3,1901,No,Defeated,,1903-12-16,1903,12,16,
,,,,,,,Wilmot,TAS,26.2.1904,1904-2-26,26,2,1904,Yes,Defeated,,1906-12-12,1906,12,12,
cameroneoin1993,Eoin,Cameron,Eoin Harrap,,,,Stirling,WA,13.3.1993,1993-3-13,13,3,1993,No,Defeated,,1998-10-3,1998,10,3,
cameronewen1977,Ewen,Cameron,Ewen Colin,,,,Indi,VIC,10.12.1977,1977-12-10,10,12,1977,No,Retired,,1993-2-8,1993,2,8,
cameronian1980,Ian,Cameron,Ian Milne Dixon,,,,Maranoa,QLD,18.10.1980,1980-10-18,18,10,1980,No,Retired,,1990-2-19,1990,2,19,
cameronmalcolm1922,Malcolm,Cameron,Malcolm Duncan,,,,Barker,SA,16.12.1922,1922-12-16,16,12,1922,No,Retired,,1934-8-7,1934,8,7,
cameronross1996,Ross,Cameron,Ross Alexander,,,,Parramatta,NSW,2.3.1996,1996-3-2,2,3,1996,No,Defeated,,2004-10-9,2004,10,9,
campbellgraeme1980,Graeme,Campbell,Graeme,,,,Kalgoorlie,WA,18.10.1980,1980-10-18,18,10,1980,No,Defeated,,1998-10-3,1998,10,3,
campbelljodie2007,Jodie,Campbell,Jodie Louise,,,,Bass,TAS,24.11.2007,2007-11-24,24,11,2007,No,Retired,,2010-7-19,2010,7,19,
canngeorge1910,George,Cann,George,,,,Nepean,NSW,13.4.1910,1910-4-13,13,4,1910,No,Defeated,,1913-5-31,1913,5,31,
carigecolin1975,Colin,Carige,Colin Lawrence,,,,Capricornia,QLD,13.12.1975,1975-12-13,13,12,1975,No,Defeated,,1977-12-10,1977,12,10,
carltonjim1977,Jim,Carlton,James Joseph,,Jim,,Mackellar,NSW,10.12.1977,1977-12-10,10,12,1977,No,Resigned,,1994-1-14,1994,1,14,
carpenterwilliam1903,William,Carpenter,William Henry,,,,Fremantle,WA,16.12.1903,1903-12-16,16,12,1903,No,Defeated,,1906-12-12,1906,12,12,
carrernest1906,Ernest,Carr,Ernest Shoobridge,,,,Macquarie,NSW,12.12.1906,1906-12-12,12,12,1906,No,Defeated,,1917-5-5,1917,5,5,
caseyrichard1931,Richard,Casey,Richard Gardiner,,,,Corio,VIC,19.12.1931,1931-12-19,19,12,1931,No,Resigned,,1940-1-30,1940,1,30,
,,,,,,,La Trobe,VIC,10.12.1949,1949-12-10,10,12,1949,No,Resigned,,1960-2-10,1960,2,10,
cashearl1958,Earl,Cash,Earl Douglas,,,,Stirling,WA,22.11.1958,1958-11-22,22,11,1958,No,Defeated,,1961-12-9,1961,12,9,
cassmoss1969,Moss,Cass,Moses Henry,,Moss,,Maribyrnong,VIC,25.10.1969,1969-10-25,25,10,1969,No,Retired,,1983-2-4,1983,2,4,
catleyrobert1990,Robert,Catley,Robert,,,,Adelaide,SA,24.3.1990,1990-3-24,24,3,1990,No,Defeated,,1993-3-13,1993,3,13,
cattsjames1906,James,Catts,James Howard,,,,Cook,NSW,12.12.1906,1906-12-12,12,12,1906,No,Defeated,,1922-12-16,1922,12,16,
causleyian1996,Ian,Causley,Ian Raymond,,,,Page,NSW,2.3.1996,1996-3-2,2,3,1996,No,Retired,,2007-10-17,2007,10,17,
chalmersjames2013,James,Chalmers,James Edward,,,,Rankin,QLD,7.9.2013,2013-9-7,7,9,2013,No,,,,,,,
chamberscyril1943,Cyril,Chambers,Cyril,,,,Adelaide,SA,21.8.1943,1943-8-21,21,8,1943,No,Retired,,1958-10-14,1958,10,14,
championnicholas2007,Nicholas,Champion,Nicholas David,,,,Wakefield,SA,24.11.2007,2007-11-24,24,11,2007,No,,,,,,,
chaneyfred1955,Fred,Chaney,Frederick Charles,,Fred,,Perth,WA,10.12.1955,1955-12-10,10,12,1955,No,Defeated,,1969-10-25,1969,10,25,
chaneyfrederick1990,Frederick,Chaney,Frederick Michael,,,,Pearce,WA,24.3.1990,1990-3-24,24,3,1990,No,Retired,,1993-2-8,1993,2,8,
chanterjohn1901,John,Chanter,John Moore,,,,Riverina,NSW,29.3.1901,1901-3-29,29,3,1901,No,Defeated,,1903-12-16,1903,12,16,
,,,,,,,Riverina,NSW,18.5.1904,1904-5-18,18,5,1904,Yes,Defeated,,1913-5-31,1913,5,31,
,,,,,,,Riverina,NSW,5.9.1914,1914-9-5,5,9,1914,No,Defeated,,1922-12-16,1922,12,16,
chapmanaustin1901,Austin,Chapman,Austin,,,Later Sir Austin,Eden-Monaro,NSW,29.3.1901,1901-3-29,29,3,1901,No,Died,,1926-1-12,1926,1,12,
chapmangrant1975,Grant,Chapman,Hedley Grant Pearson,,Grant,,Kingston,SA,13.12.1975,1975-12-13,13,12,1975,No,Defeated,,1983-3-5,1983,3,5,
charlesdavid1980,David,Charles,David Ernest,,,,Isaacs,VIC,18.10.1980,1980-10-18,18,10,1980,No,Retired,,1990-2-19,1990,2,19,
charlesrobert1990,Robert,Charles,Robert Edwin,,,,La Trobe,VIC,24.3.1990,1990-3-24,24,3,1990,No,Retired,,2004-8-31,2004,8,31,
charlesworthrichard1983,Richard,Charlesworth,Richard Ian,,,,Perth,WA,5.3.1983,1983-3-5,5,3,1983,No,Retired,,1993-2-8,1993,2,8,
charltonmatthew1910,Matthew,Charlton,Matthew,,,,Hunter,NSW,13.4.1910,1910-4-13,13,4,1910,No,Retired,,1928-10-9,1928,10,9,
cheesemandarren2007,Darren,Cheeseman,Darren Leicester,,,,Corangamite,VIC,24.11.2007,2007-11-24,24,11,2007,No,Defeated,,2013-9-7,2013,9,7,
chesterdarren2008,Darren,Chester,Darren Jeffrey,,,,Gippsland,VIC,28.6.2008,2008-6-28,28,6,2008,Yes,,,,,,,
chesterslisa2013,Lisa,Chesters,Lisa Marie,,,,Bendigo,VIC,7.9.2013,2013-9-7,7,9,2013,No,,,,,,,
chifleyben1928,Ben,Chifley,Joseph Benedict,,Ben,,Macquarie,NSW,17.11.1928,1928-11-17,17,11,1928,No,Defeated,,1931-12-19,1931,12,19,
,,,,,,,Macquarie,NSW,21.9.1940,1940-9-21,21,9,1940,No,Died,,1951-6-13,1951,6,13,
childjoan1974,Joan,Child,Gloria Joan Liles,,Joan,,Henty,VIC,18.5.1974,1974-5-18,18,5,1974,No,Defeated,,1975-12-13,1975,12,13,
,,,,,,,Henty,VIC,18.10.1980,1980-10-18,18,10,1980,No,Retired,,1990-2-19,1990,2,19,
chippdon1960,Don,Chipp,Donald Leslie,,Don,,Higinbotham,VIC,10.12.1960,1960-12-10,10,12,1960,Yes,Until elected for Hotham ,1,1969-10-25,1969,10,25,
,,,,,,,Hotham,VIC,25.10.1969,1969-10-25,25,10,1969,No,Retired,,1977-11-10,1977,11,10,
chresbyarthur1958,Arthur,Chresby,Arthur Albert,,,,Griffith,QLD,22.11.1958,1958-11-22,22,11,1958,No,Defeated,,1961-12-9,1961,12,9,
christensengeorge2010,George,Christensen,George Robert,,,,Dawson,QLD,21.8.2010,2010-8-21,21,8,2010,No,,,,,,,
chynowethrobert1983,Robert,Chynoweth,Robert Leslie,,,,Flinders,VIC,5.3.1983,1983-3-5,5,3,1983,No,Until elected for Dunkley ,1,1984-12-1,1984,12,1,
,,,,,,,Dunkley,VIC,1.12.1984,1984-12-1,1,12,1984,No,Defeated,,1990-3-24,1990,3,24,
,,,,,,,Dunkley,VIC,13.3.1993,1993-3-13,13,3,1993,No,Defeated,,1996-3-2,1996,3,2,
ciobosteven2001,Steven,Ciobo,Steven Michele,,,,Moncrieff,QLD,10.11.2001,2001-11-10,10,11,2001,No,,,,,,,
clarejason2007,Jason,Clare,Jason Dean,,,,Blaxland,NSW,24.11.2007,2007-11-24,24,11,2007,No,,,,,,,
clareypercy1949,Percy,Clarey,Percy James,,,,Bendigo,VIC,10.12.1949,1949-12-10,10,12,1949,No,Died,,1960-5-17,1960,5,17,
clarkjoseph1934,Joseph,Clark,Joseph James,,,,Darling,NSW,15.9.1934,1934-9-15,15,9,1934,No,Retired,,1969-9-29,1969,9,29,
clarkefrancis1901,Francis,Clarke,Francis,,,,Cowper,NSW,29.3.1901,1901-3-29,29,3,1901,No,Defeated,,1903-12-16,1903,12,16,
clasbyjohn1931,John,Clasby,John Joseph,,,,East Sydney,NSW,19.12.1931,1931-12-19,19,12,1931,No,Died,,1932-1-15,1932,1,15,
claylionel1958,Lionel,Clay,Lionel Daniel,,,,St George,NSW,22.11.1958,1958-11-22,22,11,1958,No,Defeated,,1963-11-30,1963,11,30,
claydonsharon2013,Sharon,Claydon,Sharon Catherine,,,,Newcastle,NSW,7.9.2013,2013-9-7,7,9,2013,No,,,,,,,
claytongareth1974,Gareth,Clayton,Gareth,,,,Isaacs,VIC,18.5.1974,1974-5-18,18,5,1974,No,Defeated,,1975-12-13,1975,12,13,
clearyphilip1992,Philip,Cleary,Philip Ronald,,,,Wills,VIC,11.4.1992,1992-4-11,11,4,1992,Yes,Voided,,1992-11-25,1992,11,25,
,,,,,,,Wills,VIC,13.3.1993,1993-3-13,13,3,1993,No,Defeated,,1996-3-2,1996,3,2,
cleaverrichard1955,Richard,Cleaver,Richard,,,,Swan,WA,10.12.1955,1955-12-10,10,12,1955,No,Defeated,,1969-10-25,1969,10,25,
cleelandpeter1984,Peter,Cleeland,Peter Robert,,,,McEwen,VIC,1.12.1984,1984-12-1,1,12,1984,No,Defeated,,1990-3-24,1990,3,24,
,,,,,,,McEwen,VIC,13.3.1993,1993-3-13,13,3,1993,No,Defeated,,1996-3-2,1996,3,2,
coatesjohn1972,John,Coates,John,,,,Denison,TAS,2.12.1972,1972-12-2,2,12,1972,No,Defeated,,1975-12-13,1975,12,13,
cobbjohn2001,John,Cobb,John Kenneth,,,,Parkes,NSW,10.11.2001,2001-11-10,10,11,2001,No,Until elected for Calare ,1,2007-11-24,2007,11,24,
,,,,,,,Calare,NSW,24.11.2007,2007-11-24,24,11,2007,No,Retired,,2016-5-9,2016,5,9,
cobbmichael1984,Michael,Cobb,Michael Roy,,,,Parkes,NSW,1.12.1984,1984-12-1,1,12,1984,No,Retired,,1998-8-31,1998,8,31,
cocklejohn1961,John,Cockle,John Simon,,,,Warringah,NSW,9.12.1961,1961-12-9,9,12,1961,No,Died,,1966-8-3,1966,8,3,
cohenbarry1969,Barry,Cohen,Barry,,,,Robertson,NSW,25.10.1969,1969-10-25,25,10,1969,No,Retired,,1990-2-19,1990,2,19,
colemandavid2013,David,Coleman,David Bernard,,,,Banks,NSW,7.9.2013,2013-9-7,7,9,2013,No,,,,,,,
colemanpercy1922,Percy,Coleman,Percy Edmund,,,,Reid,NSW,16.12.1922,1922-12-16,16,12,1922,No,Defeated,,1931-12-19,1931,12,19,
colemanwilliam1981,William,Coleman,William Peter,,,,Wentworth,NSW,11.4.1981,1981-4-11,11,4,1981,Yes,Retired,,1987-6-5,1987,6,5,
colesarthur1940,Arthur,Coles,Arthur William,,,,Henty,VIC,21.9.1940,1940-9-21,21,9,1940,No,Resigned,,1946-2-11,1946,2,11,
collardfrederick1961,Frederick,Collard,Frederick Walter,,,,Kalgoorlie,WA,9.12.1961,1961-12-9,9,12,1961,No,Defeated,,1975-12-13,1975,12,13,
collinsjulie2007,Julie,Collins,Julie Maree,,,,Franklin,TAS,24.11.2007,2007-11-24,24,11,2007,No,,,,,,,
collinsmaurice1928,Maurice,Collins,Maurice,,,,Wakefield,SA,17.11.1928,1928-11-17,17,11,1928,No,Defeated,,1929-10-12,1929,10,12,
collinsthomas1931,Thomas,Collins,Thomas Joseph,,,,Hume,NSW,19.12.1931,1931-12-19,19,12,1931,No,Defeated,,1943-8-21,1943,8,21,
comberjack1961,Jack,Comber,Jack,,,,Bowman,QLD,9.12.1961,1961-12-9,9,12,1961,No,Defeated,,1963-11-30,1963,11,30,
combetgregory2007,Gregory,Combet,Gregory Ivan,,,,Charlton,NSW,24.11.2007,2007-11-24,24,11,2007,No,Retired,,2013-8-5,2013,8,5,
conelanwilliam1939,William,Conelan,William Patrick,,,,Griffith,QLD,20.5.1939,1939-5-20,20,5,1939,Yes,Defeated,,1949-12-10,1949,12,10,
connollydavid1974,David,Connolly,David Miles,,,,Bradfield,NSW,18.5.1974,1974-5-18,18,5,1974,No,Retired,,1996-1-29,1996,1,29,
connorrex1963,Rex,Connor,Reginald Francis Xavier,,Rex,,Cunningham,NSW,30.11.1963,1963-11-30,30,11,1963,No,Died,,1977-8-22,1977,8,22,
conquestbryan1984,Bryan,Conquest,Bryan Joseph,,,,Hinkler,QLD,1.12.1984,1984-12-1,1,12,1984,No,Defeated,,1987-7-11,1987,7,11,
conroyalfred1901,Alfred,Conroy,Alfred Hugh Beresford,,,,Werriwa,NSW,29.3.1901,1901-3-29,29,3,1901,No,Defeated,,1906-12-12,1906,12,12,
,,,,,,,Werriwa,NSW,31.5.1913,1913-5-31,31,5,1913,No,Defeated,,1914-9-5,1914,9,5,
conroypatrick2013,Patrick,Conroy,Patrick Martin,,,,Charlton,NSW,7.9.2013,2013-9-7,7,9,2013,No,Until elected for Shortland,1,2016-7-2,2016,7,2,
,,,,,,,Shortland,NSW,2.7.2016,2016-7-2,2,7,2016,No,,,,,,,
considinemichael1917,Michael,Considine,Michael Patrick,,,,Barrier,NSW,5.5.1917,1917-5-5,5,5,1917,No,Defeated,,1922-12-16,1922,12,16,
cookjames1901,James,Cook,James Newton Haxton Hume,,,,Bourke,VIC,29.3.1901,1901-3-29,29,3,1901,No,Defeated,,1910-4-13,1910,4,13,
cookjoseph1901,Joseph,Cook,Joseph,,,Later Sir Joseph,Parramatta,NSW,29.3.1901,1901-3-29,29,3,1901,No,Resigned,,1921-11-11,1921,11,11,
cookrobert1919,Robert,Cook,Robert,,,,Indi,VIC,13.12.1919,1919-12-13,13,12,1919,No,Retired,,1928-10-9,1928,10,9,
cookenelson1972,Nelson,Cooke,Nelson Marshall,,,,Petrie,QLD,2.12.1972,1972-12-2,2,12,1972,No,Retired,,1974-4-11,1974,4,11,
cookesamuel1901,Samuel,Cooke,Samuel Winter,,,,Wannon,VIC,29.3.1901,1901-3-29,29,3,1901,No,Retired,,1903-11-23,1903,11,23,
coonjabez1906,Jabez,Coon,Jabez,,,,Batman,VIC,12.12.1906,1906-12-12,12,12,1906,No,Defeated,,1910-4-13,1910,4,13,
copejames1955,James,Cope,James Francis,,,,Cook,NSW,21.5.1955,1955-5-21,21,5,1955,Yes,Until elected for Watson ,1,1955-12-10,1955,12,10,
,,,,,,,Watson,NSW,10.12.1955,1955-12-10,10,12,1955,No,Until elected for Sydney ,1,1969-10-25,1969,10,25,
,,,,,,,Sydney,NSW,25.10.1969,1969-10-25,25,10,1969,No,Retired,,1975-11-11,1975,11,11,
corbettjames1966,James,Corbett,James,,,,Maranoa,QLD,26.11.1966,1966-11-26,26,11,1966,No,Retired,,1980-9-19,1980,9,19,
corboyedwin1918,Edwin,Corboy,Edwin Wilkie,,,,Swan,WA,26.10.1918,1918-10-26,26,10,1918,Yes,Defeated,,1919-12-13,1919,12,13,
corcoranann2000,Ann,Corcoran,Ann Kathleen,,,,Isaacs,VIC,12.8.2000,2000-8-12,12,8,2000,Yes,Retired,,2007-10-17,2007,10,17,
corserbernard1928,Bernard,Corser,Bernard Henry,,,,Wide Bay,QLD,3.9.1928,1928-9-3,3,9,1928,Yes,Retired,,1954-4-21,1954,4,21,
corseredward1915,Edward,Corser,Edward Bernard Cresset,,,,Wide Bay,QLD,11.12.1915,1915-12-11,11,12,1915,Yes,Died,,1928-7-31,1928,7,31,
costadominic1949,Dominic,Costa,Dominic Eric,,,,Banks,NSW,10.12.1949,1949-12-10,10,12,1949,No,Retired,,1969-9-29,1969,9,29,
costellopeter1990,Peter,Costello,Peter Howard,,,,Higgins,VIC,24.3.1990,1990-3-24,24,3,1990,No,Resigned,,2009-10-19,2009,10,19,
cotterjohn1975,John,Cotter,John Francis,,,,Kalgoorlie,WA,13.12.1975,1975-12-13,13,12,1975,No,Defeated,,1980-10-18,1980,10,18,
coultonmark2007,Mark,Coulton,Mark Maclean,,,,Parkes,NSW,24.11.2007,2007-11-24,24,11,2007,No,,,,,,,
courticebrian1987,Brian,Courtice,Brian William,,,,Hinkler,QLD,11.7.1987,1987-7-11,11,7,1987,No,Defeated,,1993-3-13,1993,3,13,
courtnayfrank1958,Frank,Courtnay,Frank,,,,Darebin,VIC,22.11.1958,1958-11-22,22,11,1958,No,Retired,,1969-9-29,1969,9,29,
couttswilfred1954,Wilfred,Coutts,Wilfred Charles,,,,Griffith,QLD,29.5.1954,1954-5-29,29,5,1954,No,Defeated,,1958-11-22,1958,11,22,
,,,,,,,Griffith,QLD,9.12.1961,1961-12-9,9,12,1961,No,Defeated,,1966-11-26,1966,11,26,
cowandavid1980,David,Cowan,David Bruce,,,,Lyne,NSW,18.10.1980,1980-10-18,18,10,1980,No,Retired,,1993-2-8,1993,2,8,
coxdavid1998,David,Cox,David Alexander,,,,Kingston,SA,3.10.1998,1998-10-3,3,10,1998,No,Defeated,,2004-10-9,2004,10,9,
cramerjohn1949,John,Cramer,John Oscar,,,Later Sir John,Bennelong,NSW,10.12.1949,1949-12-10,10,12,1949,No,Retired,,1974-4-11,1974,4,11,
crawfordmary1987,Mary,Crawford,Mary Catherine,,,,Forde,QLD,11.7.1987,1987-7-11,11,7,1987,No,Defeated,,1996-3-2,1996,3,2,
creanfrank1951,Frank,Crean,Frank,,,,Melbourne Ports,VIC,28.4.1951,1951-4-28,28,4,1951,No,Retired,,1977-11-10,1977,11,10,
creansimon1990,Simon,Crean,Simon Findlay,,,,Hotham,VIC,24.3.1990,1990-3-24,24,3,1990,No,Retired,,2013-8-5,2013,8,5,
cremeanjohn1949,John,Cremean,John Lawrence,,,,Hoddle,VIC,10.12.1949,1949-12-10,10,12,1949,No,Defeated,,1955-12-10,1955,12,10,
crewtherchris2016,Christopher,Crewther,Christopher John,,,,Dunkley,VIC,2.7.2016,2016-7-2,2,7,2016,No,,,,,,,
crookanthony2010,Anthony,Crook,Anthony John,,,,O'Connor,WA,21.8.2010,2010-8-21,21,8,2010,No,Retired,,2013-8-5,2013,8,5,
crosiojanice1990,Janice,Crosio,Janice Anne,,,,Prospect,NSW,24.3.1990,1990-3-24,24,3,1990,No,Retired,,2004-8-31,2004,8,31,
crossmanfred1961,Manfred,Cross,Manfred Douglas,,,,Brisbane,QLD,9.12.1961,1961-12-9,9,12,1961,No,Defeated,,1975-12-13,1975,12,13,
,,,,,,,Brisbane,QLD,18.10.1980,1980-10-18,18,10,1980,No,Retired,,1990-2-19,1990,2,19,
crouchrichard1901,Richard,Crouch,Richard Armstrong,,,,Corio,VIC,29.3.1901,1901-3-29,29,3,1901,No,Defeated,,1910-4-13,1910,4,13,
,,,,,,,Corangamite,VIC,12.10.1929,1929-10-12,12,10,1929,No,Defeated,,1931-12-19,1931,12,19,
cruickshankgeorge1901,George,Cruickshank,George Alexander,,,,Gwydir,NSW,29.3.1901,1901-3-29,29,3,1901,No,Retired,,1903-11-23,1903,11,23,
culleycharles1928,Charles,Culley,Charles Ernest,,,,Denison,TAS,17.11.1928,1928-11-17,17,11,1928,No,Defeated,,1931-12-19,1931,12,19,
culpinmillice1903,Millice,Culpin,Millice,,,,Brisbane,QLD,16.12.1903,1903-12-16,16,12,1903,No,Defeated,,1906-12-12,1906,12,12,
cunninghambarry1980,Barry,Cunningham,Barry Thomas,,,,McMillan,VIC,18.10.1980,1980-10-18,18,10,1980,No,Defeated,,1990-3-24,1990,3,24,
,,,,,,,McMillan,VIC,13.3.1993,1993-3-13,13,3,1993,No,Defeated,,1996-3-2,1996,3,2,
cunninghamlucien1919,Lucien,Cunningham,Lucien Lawrence,,,,Gwydir,NSW,13.12.1919,1919-12-13,13,12,1919,No,Defeated,,1925-11-14,1925,11,14,
,,,,,,,Gwydir,NSW,12.10.1929,1929-10-12,12,10,1929,No,Defeated,,1931-12-19,1931,12,19,
curtindaniel1949,Daniel,Curtin,Daniel James,,,,Watson,NSW,10.12.1949,1949-12-10,10,12,1949,No,Until elected for Kingsford-Smith ,1,1955-12-10,1955,12,10,
,,,,,,,Kingsford-Smith,NSW,10.12.1955,1955-12-10,10,12,1955,No,Retired,,1969-9-29,1969,9,29,Same as Kingsford Smith - name was changed in 2001
curtinjohn1928,John,Curtin,John Joseph Ambrose,,,,Fremantle,WA,17.11.1928,1928-11-17,17,11,1928,No,Defeated,,1931-12-19,1931,12,19,
,,,,,,,Fremantle,WA,15.9.1934,1934-9-15,15,9,1934,No,Died,,1945-7-5,1945,7,5,
cusackjohn1929,John,Cusack,John Joseph,,,,Eden-Monaro,NSW,12.10.1929,1929-10-12,12,10,1929,No,Defeated,,1931-12-19,1931,12,19,
dalyfred1943,Fred,Daly,Frederick Michael,,Fred,,Martin,NSW,21.8.1943,1943-8-21,21,8,1943,No,Until elected for Grayndler ,1,1949-12-10,1949,12,10,
,,,,,,,Grayndler,NSW,10.12.1949,1949-12-10,10,12,1949,No,Retired,,1975-11-11,1975,11,11,
danbymichael1998,Michael,Danby,Michael David,,,,Melbourne Ports,VIC,3.10.1998,1998-10-3,3,10,1998,No,,,,,,,
dankelgeorge1913,George,Dankel,George,,,,Boothby,SA,31.5.1913,1913-5-31,31,5,1913,No,Retired,,1917-3-26,1917,3,26,
dargavelsteven1997,Steven,Dargavel,Steven John,,,,Fraser,ACT,1.2.1997,1997-2-1,1,2,1997,Yes,Retired,,1998-8-31,1998,8,31,
darlingelaine1980,Elaine,Darling,Elaine Elizabeth,,,,Lilley,QLD,18.10.1980,1980-10-18,18,10,1980,No,Retired,,1993-2-8,1993,2,8,
dathyvette2007,Yvette,D'Ath,Yvette Maree,,,,Petrie,QLD,24.11.2007,2007-11-24,24,11,2007,No,Defeated,,2013-9-7,2013,9,7,
