sitting,topic,government,median,upper,lower
2,14,1,-1.9338531579233185,-1.7465914255272637,-2.1423886908900553
2,15,1,-1.5996397044280246,-1.4184821962324885,-1.7988533706199221
2,16,1,-2.004157203081059,-1.814335322412501,-2.201305788798072
2,17,1,-2.1822304170393734,-1.9949654219550792,-2.3815986126560187
2,18,1,-1.8227053689091344,-1.6147194023731875,-2.0347344977239348
2,19,1,-2.1141110135151773,-1.9108581344186593,-2.298334457943339
2,20,1,-1.111054949914057,-0.9249457338753159,-1.3138640583552843
2,21,1,-1.8253436053136887,-1.6484807094551102,-2.0197775259877804
2,22,1,-0.8899154016784903,-0.701962169434119,-1.0775931979780806
2,23,1,-2.107188143092742,-1.9371752668177133,-2.287986641189508
2,24,1,-1.6320717190905805,-1.4589467837096648,-1.812160541788831
2,25,1,-2.3000710924776957,-2.1139664137264678,-2.491623885739599
2,26,1,-1.939668954947138,-1.7496150078072004,-2.136241373316278
2,27,1,-1.9014385441213943,-1.7227947035380573,-2.1123722433112255
2,28,1,-1.546278277988612,-1.3569474256716216,-1.7553209810109918
2,29,1,-1.9588511586237058,-1.7679801999545537,-2.1613200494234124
2,30,1,-1.9774745801777844,-1.7830171466647735,-2.175630924674955
2,31,1,-1.9288468926672855,-1.7393714288594033,-2.1133648804201135
2,32,1,-1.6290357326659184,-1.4343026612795924,-1.808273948554179
2,33,1,-2.3032343125866324,-2.11617330520667,-2.486431829103618
2,34,1,-1.7437368446170274,-1.5606204330041253,-1.9340082366771518
2,35,1,-2.1969664229674435,-2.026085197098763,-2.4098565280778956
2,36,1,-1.2286287692753093,-1.0160872849147466,-1.4081636666721218
2,37,1,-1.9265205558903584,-1.7293315739124853,-2.1136638758873803
2,38,1,-1.8391019257122445,-1.6704088976491545,-2.0317929843389617
2,39,1,-2.126208455100768,-1.9496261057335087,-2.310552007612401
2,40,1,-1.591927179683038,-1.4171834581584364,-1.774121241746974
2,41,1,-1.2128458621501195,-1.0191590961202321,-1.3946949122145096
2,42,1,-1.9131222205748961,-1.7333186204937516,-2.1111924581765695
2,43,1,-2.112879608420939,-1.9245820029481102,-2.285865127057953
2,44,1,-2.1344106439368167,-1.9547546508162,-2.32161238131997
2,45,1,-1.6050941224391306,-1.42296297407973,-1.8046864037042871
2,46,1,-2.0590491349563864,-1.8669226549924913,-2.2432379927070216
2,47,1,-2.3797536417191685,-2.189183416052337,-2.5706790498718766
2,48,1,-1.976930882270239,-1.8001967665493346,-2.156561038585141
2,49,1,-1.8461980127252526,-1.6468077242615469,-2.038710809139494
2,50,1,-1.6738654699571351,-1.4870086006515744,-1.8843677008694668
2,51,1,-1.5638088455241634,-1.3957927634856733,-1.7592275262363646
2,52,1,-1.4148520174655297,-1.249526897477558,-1.5967393931289562
2,53,1,-2.378272205267569,-2.1861910870785524,-2.571518239763437
2,54,1,-1.7599770814690825,-1.5726042955445434,-1.9579707195395977
2,55,1,-1.4912369744707825,-1.3210535902302,-1.6703800589441677
2,56,1,-2.0555432249202914,-1.8675418182966115,-2.2319489521618863
2,57,1,-0.6058602166262912,-0.42606097398816367,-0.7836942668117926
2,58,1,-2.0494867418655947,-1.866141427532111,-2.22576487223075
2,59,1,0.2815755377420234,0.4424801260708861,0.12560238752092326
2,60,1,-1.4322328791394048,-1.2473186951165136,-1.616182153738806
3,1,1,-1.412581096732744,-1.2283138409498384,-1.6214388255142465
3,2,1,-1.9095931331850373,-1.7065794933706087,-2.136105967849787
3,3,1,-1.862620007024058,-1.667469820639441,-2.0821576739276186
3,4,1,-2.3339842083931637,-2.118118514187375,-2.548917750029434
3,5,1,-0.7702922301304131,-0.5702926162582206,-0.9661215447381316
3,6,1,-1.7834325230607488,-1.6024391137213114,-1.9882846771998934
3,7,1,-1.9990422297791706,-1.7876061355602157,-2.2154059541884448
3,8,1,-1.7014500965446409,-1.490831326454487,-1.8998698690612863
3,9,1,-2.491521126436948,-2.2808939272326865,-2.6984966814574882
3,10,1,-1.6577194002862046,-1.4443435785675864,-1.8779920485077246
3,11,1,-1.7439413258934087,-1.534489325775917,-1.969628807465488
3,12,1,-2.1528879100989347,-1.9456928337776294,-2.373542433721038
3,13,1,-0.6544975613768728,-0.45833618179940216,-0.85550788199045
3,14,1,-1.9325728229600982,-1.7164626080575762,-2.15245911354754
3,15,1,-1.6258123965906575,-1.424750624708886,-1.8485094865771414
3,16,1,-2.0305777796742035,-1.8142530078622985,-2.2518526807887027
3,17,1,-2.2178985965834324,-2.01320447247965,-2.444341811091482
3,18,1,-1.8369128318542067,-1.6117133181177294,-2.0624986318944947
3,19,1,-2.1360790527828155,-1.9241549802325881,-2.344769052767694
3,20,1,-1.242515817570709,-1.0551922275076449,-1.4508104728248115
3,21,1,-1.8490979619557095,-1.6422237749508088,-2.0589286836001333
3,22,1,-0.9572431472992444,-0.750808224930426,-1.1606593729680226
3,23,1,-2.137365667479161,-1.9471143973372422,-2.352433171827454
3,24,1,-1.6229977956785135,-1.4140700988776411,-1.8272018305328979
3,25,1,-2.3194786994805043,-2.1090071307313436,-2.5256543308174186
3,26,1,-1.9467064566809174,-1.7349216648732417,-2.151068376079469
3,27,1,-1.909813465077377,-1.7117479656682935,-2.138845397471691
3,28,1,-1.5525447327833501,-1.3420257709256873,-1.77581089213618
3,29,1,-1.9903636407722751,-1.7830966785323892,-2.200186411918793
3,30,1,-2.0146421755411312,-1.7971677545305957,-2.257006237713567
3,31,1,-1.9646438897377125,-1.7575805623281364,-2.1596772939182665
3,32,1,-1.6442720032526725,-1.4237284354137236,-1.8499369805291332
3,33,1,-2.3336566439853597,-2.11836310999445,-2.5415504381152476
3,34,1,-1.7349464635179417,-1.5105917016458537,-1.9343767610380806
3,35,1,-2.2157382164239108,-2.01270139588414,-2.436387453300378
3,36,1,-1.3437142645619948,-1.1554617619915528,-1.527118323888544
3,37,1,-1.9515594376349676,-1.731109139370978,-2.1602498901354963
3,38,1,-1.871099476999468,-1.6827098343494453,-2.081178136927875
3,39,1,-2.1406883921406195,-1.9297504928388989,-2.345925163289797
3,40,1,-1.6217849456097604,-1.43203417746367,-1.8239001813978146
3,41,1,-1.289107319697235,-1.0790262500239636,-1.4829569866527377
3,42,1,-1.9405170670339624,-1.7341511470420812,-2.170054398790067
3,43,1,-2.1593276475865695,-1.9397293010460208,-2.366468144466726
3,44,1,-2.1707227846633925,-1.9811191429241928,-2.374887394933803
3,45,1,-1.6357070345730853,-1.4329033761491086,-1.8687541772561214
3,46,1,-2.081112815295996,-1.8686375376970836,-2.29625589380178
3,47,1,-2.3957128477831082,-2.19082802184617,-2.5849888728345114
3,48,1,-1.9925437444539162,-1.796200507499856,-2.1946124194509657
3,49,1,-1.8508003802550186,-1.6411806306743277,-2.0865703437655254
3,50,1,-1.6618445718713373,-1.4529588237480116,-1.8998080170512226
3,51,1,-1.5632667987168776,-1.3609223150684713,-1.7776085773804688
3,52,1,-1.4386018072465054,-1.2415362200324658,-1.644364513984676
3,53,1,-2.3835045845661327,-2.169297768994745,-2.5983614833783815
3,54,1,-1.801380487373598,-1.5902613524025841,-2.01808503374203
3,55,1,-1.4925133988901937,-1.2912171546834108,-1.6916646416726018
3,56,1,-2.067392770241359,-1.8564287229805507,-2.270170517079449
3,57,1,-0.45845373680742985,-0.1451579916670394,-0.7076082036488534
3,58,1,-2.068855597662905,-1.863979941825933,-2.271060029019447
3,59,1,0.14423457620540006,0.31733755289414967,-0.0549031900338868
3,60,1,-1.4722688870838392,-1.2644451438274371,-1.6770942996731741
4,1,1,-1.3950800121872584,-1.179852090475386,-1.6095837093887626
4,2,1,-1.911512971132498,-1.7002195265979034,-2.129888501619793
4,3,1,-1.8493481882836742,-1.6458303327174368,-2.088979167543165
4,4,1,-2.3198214459028343,-2.0938769247298104,-2.5388023923654743
4,5,1,-0.6819034895389596,-0.4612003237837054,-0.8979276618970619
4,6,1,-1.74970836506546,-1.5446601384177616,-1.969123244504234
4,7,1,-1.994818436612631,-1.768757187981463,-2.229037995874606
4,8,1,-1.683671778611194,-1.455565646371706,-1.8953721348051158
4,9,1,-2.475459957264232,-2.250273071059853,-2.7036855042621357
4,10,1,-1.621903409083794,-1.3713624985739432,-1.8586660180085486
4,11,1,-1.7389086642522018,-1.497995129044841,-1.969323731716913
4,12,1,-2.1302284161499654,-1.9137318943072168,-2.353330786296751
4,13,1,-0.62132037210664115,-0.40180636669689385,-0.8343110569534741
4,14,1,-1.92552953015886,-1.6976454324056103,-2.155865061873298
4,15,1,-1.613605001526416,-1.41004176829745,-1.8470191602599573
4,16,1,-2.007932434173516,-1.790139490435084,-2.240683732236624
4,17,1,-2.1967665773007443,-1.9734243285520536,-2.436622478422844
4,18,1,-1.8103417391147263,-1.5713901107420425,-2.056519547163402
4,19,1,-2.1172175303540124,-1.8791919102062944,-2.3495216522415414
4,20,1,-1.1922541303287493,-0.9830821960580527,-1.4041748103065634
4,21,1,-1.8334169098517812,-1.6241049990609968,-2.0652097934316047
4,22,1,-0.903774981943394,-0.6730579585484426,-1.1142679849245885
4,23,1,-2.118153688753827,-1.9111639138499557,-2.3339376616932968
4,24,1,-1.609936958317749,-1.3751391126173658,-1.8247835500501555
4,25,1,-2.3036110846599462,-2.07528718892878,-2.5215451665384867
4,26,1,-1.9483943009030136,-1.7090107593559796,-2.15322573145813
4,27,1,-1.9289627773648017,-1.7000991965729129,-2.1530809471230223
4,28,1,-1.5486979368767717,-1.326100059623078,-1.7758144128764035
4,29,1,-1.9741055982635056,-1.7496461623371307,-2.207933532897245
4,30,1,-1.995631447131779,-1.7565917313353123,-2.216399429894385
4,31,1,-1.95293881104145,-1.7302854712384543,-2.1551994672621673
4,32,1,-1.6283429134161167,-1.4026200645403795,-1.8369805570700142
4,33,1,-2.3306923233126415,-2.09043131620241,-2.555502665180581
4,34,1,-1.758133773302323,-1.540771356433819,-1.9667785739266306
4,35,1,-2.2087549735612537,-2.0053996013300224,-2.434886317106562
4,36,1,-1.3111970530758938,-1.0949492557629772,-1.5083762754961387
4,37,1,-1.9374116111450743,-1.7064122604922953,-2.1614899469717375
4,38,1,-1.8666445388428863,-1.6602838396555906,-2.086466247473273
4,39,1,-2.1267605177105784,-1.9103394929638737,-2.3545200390296848
4,40,1,-1.6073481822592206,-1.3995279531997915,-1.8161882700817267
4,41,1,-1.2927351279257329,-1.079298440312806,-1.4996765545791533
4,42,1,-1.9293464999912637,-1.7128257764087098,-2.1606501191062
4,43,1,-2.138882119169966,-1.912423895852955,-2.343840553611362
4,44,1,-2.158046281048577,-1.958593271468255,-2.3719068388829454
4,45,1,-1.6113460814884222,-1.3895337344470093,-1.844939320742136
4,46,1,-2.0621195822480924,-1.8421043291913954,-2.2808746367385075
4,47,1,-2.3837886002699458,-2.151824443872499,-2.5897149251224003
4,48,1,-1.9792944635437744,-1.757577632908341,-2.1975040211635037
4,49,1,-1.8466862058414237,-1.6130181459107071,-2.0744739157843695
4,50,1,-1.6097143352174257,-1.3813612212569315,-1.8713220765620733
4,51,1,-1.553318385029291,-1.3468157272623404,-1.7872161673442093
4,52,1,-1.4101498457228256,-1.2006226562619264,-1.6179591599195018
4,53,1,-2.373636417689525,-2.163846840286568,-2.606319102035275
4,54,1,-1.781976161497532,-1.5541434781891543,-2.025895780515384
4,55,1,-1.4713420776425008,-1.258708385794039,-1.6976430119104393
4,56,1,-2.059647407531975,-1.8442213397552463,-2.269121036253916
4,57,1,-0.5821591110276236,-0.3420639859606504,-0.8114914033103499
4,58,1,-2.0552805376912406,-1.8337191535241955,-2.2764640903737687
4,59,1,0.2592100149741503,0.4488976362462436,0.05749483557696411
4,60,1,-1.4455514793712079,-1.2259247937388469,-1.660081157505039
5,1,1,-1.3889391740995891,-1.180041025661687,-1.6063038500341653
5,2,1,-1.9141176575443994,-1.6912448241195073,-2.1470769120823006
5,3,1,-1.8540570807110495,-1.6507742349134211,-2.090988117816758
5,4,1,-2.334991213834438,-2.122339056373667,-2.5595945241683937
5,5,1,-0.6428241094971721,-0.41344754870682127,-0.8472834320393469
5,6,1,-1.77318223891629,-1.5594704877184167,-1.9911713969059472
5,7,1,-1.9980253946033284,-1.7733282354142281,-2.228139838318303
5,8,1,-1.6912616629156334,-1.477771014930269,-1.9172342010474261
5,9,1,-2.4892501268872227,-2.2652860303309335,-2.7166282258760397
5,10,1,-1.6416964519169883,-1.4114255466280612,-1.8734511122288824
5,11,1,-1.7262561480232383,-1.5038057867830168,-1.957899606900685
5,12,1,-2.1299133881911794,-1.9190755302227698,-2.365781144436944
5,13,1,-0.618815323367683,-0.40968439159723924,-0.8503244485991486
5,14,1,-1.9337828645953463,-1.7302185663975787,-2.1672371142942746
5,15,1,-1.6176449430417668,-1.4112929613710057,-1.8460621839481453
5,16,1,-2.0251629313058457,-1.8005237631206368,-2.256870636645492
5,17,1,-2.2133552765124103,-1.9940696066830934,-2.445624912079244
5,18,1,-1.8185505603508694,-1.577760396656152,-2.051805968593869
5,19,1,-2.1347020570498483,-1.907413476603633,-2.3604567984341567
5,20,1,-1.1850359464633544,-0.9835752252689087,-1.4025485293668019
5,21,1,-1.8401433312697184,-1.6134550025918253,-2.060966458934304
5,22,1,-0.8889564618178507,-0.6496399962888398,-1.1140405038207812
5,23,1,-2.1220228090016233,-1.9177552167991427,-2.335793603295281
5,24,1,-1.5871817411518476,-1.3658797888897876,-1.8003067422325312
5,25,1,-2.3148689447847746,-2.0992554098877605,-2.535713828337772
5,26,1,-1.9410949071048897,-1.7098934228008371,-2.149248115687344
5,27,1,-1.9400398049105338,-1.720790416178586,-2.1774654457960305
5,28,1,-1.529456585305344,-1.3075923734051627,-1.7610475314670353
5,29,1,-1.9745371804205933,-1.75337566197565,-2.210360399640209
5,30,1,-2.0021935921858787,-1.7671087801591947,-2.2475736316646113
5,31,1,-1.9605840531818781,-1.7411741904525035,-2.165041714725307
5,32,1,-1.6218011678998696,-1.395431948600703,-1.828612303898086
5,33,1,-2.3299545761884426,-2.1103231786443954,-2.5470807932038344
5,34,1,-1.7650663323072258,-1.5514957542265575,-1.9810029209142286
5,35,1,-2.207342805717928,-2.0011794326182946,-2.4451591858011623
5,36,1,-1.3111807983868091,-1.0929149527958353,-1.5093298052557944
5,37,1,-1.9598024713519693,-1.7266803170493579,-2.1702397440244767
5,38,1,-1.8566708892613728,-1.6522297290690147,-2.0818720141182343
5,39,1,-2.142752976164087,-1.9343193912950991,-2.3599147298348795
5,40,1,-1.6049734859318252,-1.402418180170801,-1.839252032679231
5,41,1,-1.2819218101871002,-1.0716934460173033,-1.4906898826762454
5,42,1,-1.923469324591529,-1.7054056250500762,-2.1699049586943207
5,43,1,-2.148367901902599,-1.9267445049989562,-2.362069459002503
5,44,1,-2.166851325418162,-1.9691223200738963,-2.3867610917009268
5,45,1,-1.5970394645932626,-1.372760048314568,-1.8255725684912105
5,46,1,-2.0695090835042897,-1.848573435134026,-2.291417361162827
5,47,1,-2.402888174688205,-2.1875520928889824,-2.605345581918508
5,48,1,-1.9669478488852166,-1.7450661568563786,-2.1762952921357814
5,49,1,-1.8389190071185575,-1.6103513333177695,-2.0762995909612765
5,50,1,-1.6174142000885317,-1.393993366854392,-1.8691563147850265
5,51,1,-1.5387832398844803,-1.3200623050383589,-1.7801316586856832
5,52,1,-1.4193703196253675,-1.2197521204497912,-1.6237075520414184
5,53,1,-2.385362024185306,-2.1585529881517918,-2.600363488413147
5,54,1,-1.7932360670886425,-1.5635931374954295,-2.028910038596545
5,55,1,-1.4890188737637822,-1.2785547218212214,-1.7036442633709923
5,56,1,-2.082753113230659,-1.8769258440966567,-2.279792091444713
5,57,1,-0.6332212910205326,-0.42306629198538936,-0.8359618704020007
5,58,1,-2.065739942294467,-1.8492190732113802,-2.2898295328645175
5,59,1,0.3034907093376661,0.5126165637089837,0.09870345133811742
5,60,1,-1.4292370362635096,-1.2062750069113515,-1.6609533172177646
6,1,1,-1.406089504945748,-1.183542315207732,-1.6164306507440975
6,2,1,-1.9095895405459502,-1.7080524979689742,-2.1217371113365973
6,3,1,-1.8560434359045515,-1.652038084458051,-2.0807744354913487
6,4,1,-2.3235639742721936,-2.102108574007455,-2.5438815988695085
6,5,1,-0.651989444867022,-0.43889550736069854,-0.8680488620312088
6,6,1,-1.7722467973569809,-1.566416789907562,-1.9959941511454888
6,7,1,-1.9978161282696352,-1.783121134943572,-2.2262916277691382
6,8,1,-1.6635674996434517,-1.4313114885326972,-1.8888034804681608
6,9,1,-2.483951590074448,-2.2610305319875676,-2.707091483759517
6,10,1,-1.6280877966548148,-1.3986666812049384,-1.87106954812827
6,11,1,-1.7373272941594013,-1.5288090479783552,-1.9596484729961718
6,12,1,-2.1357977229829417,-1.9279177380588126,-2.362304615524526
6,13,1,-0.6410568373097546,-0.42771883673294747,-0.8492134430681078
6,14,1,-1.9451128651352818,-1.7351514146699492,-2.1627856885438947
6,15,1,-1.6334594348131024,-1.4390877919206073,-1.8674515740029471
6,16,1,-2.0189918747032034,-1.7947023206328043,-2.258751423473408
6,17,1,-2.2071225403829953,-1.9913929048485386,-2.430527270223407
6,18,1,-1.817390601375697,-1.5790451770039649,-2.0549348605174464
6,19,1,-2.1281683801699525,-1.9049920099706639,-2.3459639899089293
6,20,1,-1.1849822458813875,-0.9764494565758246,-1.4074791153568968
6,21,1,-1.8392341019816838,-1.6379302456562566,-2.0480900061651672
6,22,1,-0.8826747337407761,-0.6472293255420631,-1.0966750016766644
6,23,1,-2.11487568471073,-1.9121928154665728,-2.3274670879078503
6,24,1,-1.594820861525379,-1.366729427491348,-1.8176373208153966
6,25,1,-2.3125407795053854,-2.0953169361799877,-2.5266014092733733
6,26,1,-1.9454674462798953,-1.7221879616040936,-2.1449463943608276
6,27,1,-1.9387482095544657,-1.722363753786695,-2.1658377112904987
6,28,1,-1.533818370505141,-1.3220953657057453,-1.7669667843780836
6,29,1,-1.9767811117132759,-1.7753179865484023,-2.2017753504184965
6,30,1,-2.0046309444972374,-1.7824782911501353,-2.2303053845787724
6,31,1,-1.961561223131206,-1.7414365391023026,-2.168819456612168
6,32,1,-1.627159106573958,-1.4080971548739682,-1.8316737771328186
6,33,1,-2.32656769448554,-2.1015051683220416,-2.5391280151008413
6,34,1,-1.761461036381173,-1.5455534641140591,-1.9707321744913067
6,35,1,-2.2018696253806547,-1.9756227354866098,-2.435617573146322
6,36,1,-1.3116982236658539,-1.0933779741288008,-1.5007205668927783
6,37,1,-1.947018432634732,-1.714278591754749,-2.159694591141275
6,38,1,-1.8573366081767066,-1.6648959221038335,-2.0829295994991335
6,39,1,-2.131869579499618,-1.917166159227075,-2.353440475360543
6,40,1,-1.6017866522012674,-1.3960234293338485,-1.8234298972982046
6,41,1,-1.3039873695392754,-1.0872237734429484,-1.4981550113415987
6,42,1,-1.9273651663847755,-1.7121736629144721,-2.1612719754108576
6,43,1,-2.142580691929407,-1.9355605736728365,-2.3514440781611583
6,44,1,-2.167474887416005,-1.9621372771600734,-2.3814852796190897
6,45,1,-1.6199370423148627,-1.4013204821690497,-1.8557093114088954
6,46,1,-2.065212050811254,-1.842659605309899,-2.2824258950746947
6,47,1,-2.391529775259448,-2.180074343121195,-2.5922669749639393
6,48,1,-1.967810149630401,-1.7554267410318578,-2.181925334690177
6,49,1,-1.844722277827287,-1.6185905763659663,-2.0865042950195227
6,50,1,-1.6005565202606187,-1.3642386134723188,-1.8534786987496548
6,51,1,-1.5370739623589018,-1.3311444556673804,-1.7671850379105876
6,52,1,-1.3811855738364915,-1.1531993621460208,-1.5955912131980012
6,53,1,-2.3787159369691366,-2.164761088730064,-2.6009821405497178
6,54,1,-1.783390753741147,-1.5551208047321754,-2.015101541077703
6,55,1,-1.4893988149219601,-1.2869654872251137,-1.6973121614314788
6,56,1,-2.0787431195596273,-1.877869535223406,-2.2885609885573794
6,57,1,-0.6071148589262846,-0.41244843052475033,-0.8184360475247546
6,58,1,-2.057218690094021,-1.8570273764935032,-2.2743976127311534
6,59,1,0.31213436981430265,0.5181720093973489,0.1088466001181698
6,60,1,-1.4432961107394648,-1.2391572073599135,-1.6656165149009858
7,1,1,-1.4027204183261068,-1.1776509917281912,-1.6210307858141526
7,2,1,-1.9081939424892358,-1.6905288484459455,-2.1444803294162376
7,3,1,-1.8501363394283297,-1.6542283993421065,-2.080534429821553
7,4,1,-2.3229063104574594,-2.1006442395534664,-2.544518233239141
7,5,1,-0.6569734301848777,-0.4319709772330533,-0.8844238817759179
7,6,1,-1.767870190270541,-1.563749549873069,-1.986410349981869
7,7,1,-1.9912037570134355,-1.7759282105176,-2.237935175006402
7,8,1,-1.6795700920662948,-1.4466713162701494,-1.8974956044257867
7,9,1,-2.4846149028648155,-2.255576105119269,-2.705676337773274
7,10,1,-1.6267259330872512,-1.3808194316411753,-1.8596252681035212
7,11,1,-1.7366296600786462,-1.504730974210964,-1.9666915767689501
7,12,1,-2.1292695824521672,-1.908931666529328,-2.3595071112190227
7,13,1,-0.6079003047651172,-0.3766640533688205,-0.8353518536330049
7,14,1,-1.946230511979417,-1.7123426565325643,-2.1768768548354065
7,15,1,-1.6339736260258095,-1.4198167402807895,-1.858594135450742
7,16,1,-2.022636247505991,-1.7877207903263175,-2.2637119752361428
7,17,1,-2.2039033810467608,-1.9819733201257501,-2.4316172303193246
7,18,1,-1.8151349729932706,-1.5686327737537449,-2.0660908949450913
7,19,1,-2.12589092644604,-1.8926862680208183,-2.3605073136480366
7,20,1,-1.1818132508402646,-0.9676427767911356,-1.405605441062876
7,21,1,-1.839136967559837,-1.6229181575433962,-2.051313572662536
7,22,1,-0.8658737885365105,-0.6104565079881578,-1.0887054128295721
7,23,1,-2.11806527785963,-1.9078471697858876,-2.3428983970933213
7,24,1,-1.5912348486107093,-1.3380932921837523,-1.819059879874044
7,25,1,-2.3140685469171927,-2.087871035727299,-2.5396293354635993
7,26,1,-1.9335325640161365,-1.6930577898047248,-2.1460931454308843
7,27,1,-1.9346611691762434,-1.7255028889585378,-2.169243835565571
7,28,1,-1.5369658537526805,-1.313468825213771,-1.776119935460899
7,29,1,-1.9721247001388318,-1.75274953779712,-2.2075385751566046
7,30,1,-1.9950965817325519,-1.7617195182244727,-2.234933227745376
7,31,1,-1.9562241428173195,-1.742305230191119,-2.1752141858105754
7,32,1,-1.622127164008132,-1.3781932064894267,-1.826738001559083
7,33,1,-2.3215059216281526,-2.0938755040982002,-2.549896278119768
7,34,1,-1.7585619179221585,-1.5529308942562978,-1.9802122319446827
7,35,1,-2.204764117312358,-1.9859548871784196,-2.4357607123367337
7,36,1,-1.333501661886213,-1.1222585569307209,-1.5288954251816271
7,37,1,-1.9535375153560068,-1.7232104321770028,-2.178154309858238
