government,median,upper,lower
1,0.08735043581661817,0.1217503811003394,0.0588660528778222
2,0.033495981760920696,0.12731837254792266,0.007499286298544821
3,0.9368425660139627,3.0541107485423904,0.11416079075415668
4,0.3001401981812776,2.5931614491644974,0.0016182943630102646
5,0.1865389643350513,0.21358863178195084,0.16154038037681015
6,0.4404775652364079,1.311699247694085,0.18895995941728405
7,0.08413331169480381,0.18461135029184003,0.023300589052468706
8,0.016130619538722996,0.03473005081305412,0.004067679611925155
9,0.198226742245153,0.27516175059254855,0.12719716415588467
10,0.048951478438111665,0.11077650290509443,0.0037252217837240044
11,0.049396509341925326,0.08818836651921068,0.02208814594857737
12,0.024721399478640424,0.04043338182603913,0.011357819441667218
13,0.01919553865617279,0.05340446196286764,0.010743455652102284
14,0.01969882821587637,0.037732209441969,0.006647439350643132
15,0.6264926823941868,2.267510800559643,0.038131562056104025
16,0.05522026289792806,0.11271567503829237,0.028329688060278635
17,0.6853147625096752,2.0499988372262505,0.005321218577996278
18,0.024052431628646606,0.0520170366146849,0.015009098929219476
20,0.03734131492452108,0.07314543125556694,0.02222432182636754
21,0.04613715137567223,0.07316695509578788,0.03269690235388756
22,0.05332429639964392,0.08724963278304135,0.006019414289642924
23,0.07185849681421588,0.11574193894026275,0.04518596460581115
24,0.023667169093967003,0.048484301179074485,0.007091955302694055
25,0.12742343601359674,0.17574365370896766,0.08515013595610325
26,0.3198847779714977,0.340637614256107,0.2945131608212736
27,0.15694966332685178,0.18861911503409826,0.13391866983584585
28,0.05767937255765587,0.10578259581123975,0.037798541702900146
29,0.0659196589782936,0.08514971726372153,0.04210336818392774
30,0.047058824983443895,0.1102799542523943,0.02591164976196223
31,0.1670776652490331,0.2583383146507785,0.12006061616648218
32,0.27422731534672784,0.32145174416438455,0.23872609053341398
33,0.4162749955284508,0.45096681981962083,0.3809993372030205
