uniqueID,division,state,electionDate,electionDay,electionMonth,electionYear,byElection,reasonCeasedToBeMember,changedSeat,ceasedToBeMemberDate,ceasedToBeMemberYear,ceasedToBeMemberMonth,ceasedToBeMemberDay,Comment
cameroneoin1993,Stirling,WA,1993-03-13,13,3,1993,No,Defeated,NA,1998-10-03,1998,10,3,NA
cameronewen1977,Indi,VIC,1977-12-10,10,12,1977,No,Retired,NA,1993-02-08,1993,2,8,NA
cameronian1980,Maranoa,QLD,1980-10-18,18,10,1980,No,Retired,NA,1990-02-19,1990,2,19,NA
cameronmalcolm1922,Barker,SA,1922-12-16,16,12,1922,No,Retired,NA,1934-08-07,1934,8,7,NA
cameronross1996,Parramatta,NSW,1996-03-02,2,3,1996,No,Defeated,NA,2004-10-09,2004,10,9,NA
campbellgraeme1980,Kalgoorlie,WA,1980-10-18,18,10,1980,No,Defeated,NA,1998-10-03,1998,10,3,NA
campbelljodie2007,Bass,TAS,2007-11-24,24,11,2007,No,Retired,NA,2010-07-19,2010,7,19,NA
canngeorge1910,Nepean,NSW,1910-04-13,13,4,1910,No,Defeated,NA,1913-05-31,1913,5,31,NA
carigecolin1975,Capricornia,QLD,1975-12-13,13,12,1975,No,Defeated,NA,1977-12-10,1977,12,10,NA
carltonjim1977,Mackellar,NSW,1977-12-10,10,12,1977,No,Resigned,NA,1994-01-14,1994,1,14,NA
carpenterwilliam1903,Fremantle,WA,1903-12-16,16,12,1903,No,Defeated,NA,1906-12-12,1906,12,12,NA
carrernest1906,Macquarie,NSW,1906-12-12,12,12,1906,No,Defeated,NA,1917-05-05,1917,5,5,NA
caseyrichard1931,Corio,VIC,1931-12-19,19,12,1931,No,Resigned,NA,1940-01-30,1940,1,30,NA
caseyrichard1931,La Trobe,VIC,1949-12-10,10,12,1949,No,Resigned,NA,1960-02-10,1960,2,10,NA
cashearl1958,Stirling,WA,1958-11-22,22,11,1958,No,Defeated,NA,1961-12-09,1961,12,9,NA
cassmoss1969,Maribyrnong,VIC,1969-10-25,25,10,1969,No,Retired,NA,1983-02-04,1983,2,4,NA
catleyrobert1990,Adelaide,SA,1990-03-24,24,3,1990,No,Defeated,NA,1993-03-13,1993,3,13,NA
cattsjames1906,Cook,NSW,1906-12-12,12,12,1906,No,Defeated,NA,1922-12-16,1922,12,16,NA
causleyian1996,Page,NSW,1996-03-02,2,3,1996,No,Retired,NA,2007-10-17,2007,10,17,NA
chalmersjames2013,Rankin,QLD,2013-09-07,7,9,2013,No,NA,NA,NA,NA,NA,NA,NA
