original; corrected
honourable mem Mr HODGMAN; Mr HODGMAN
I made it Mr MALCOLM FRASER; Mr MALCOLM FRASER
I Mr CHARLTON; Mr CHARLTON
I Mr GHIFTJEY; Mr CHIFLEY
I Mr WATT; Mr WATT
I n many Mr FLEMING; Mr FLEMING
in Mr GRAHAM; Mr GRAHAM
in Mr GULLETT; Mr GULLETT
in the cost Mr DEPUTY SPEAKER; Mr DEPUTY SPEAKER
increases Mr NIXON; Mr NIXON
is Mr KEATING; Mr KEATING
It Mr BURCHELL; Mr BURCHELL
it was Mr MALCOLM FRASER; Mr MALCOLM FRASER
itself\. Mr CALWELL; Mr CALWELL
kind\, - Sir JOSEPH COOK; Sir JOSEPH COOK
LOUISE J\. SEDDONMr ISAACS; Mr ISAACS
made Mr MALCOLM FRASER; Mr MALCOLM FRASER
may refer to them\, Mr SPEAKER; Mr SPEAKER
measures that we set out in our budget-he is a little excited\, though\, Mr SPEAKER; Mr SPEAKER
medical Mr CRAIG THOMSON; Mr CRAIG THOMSON
ment\, Mr SPEAKER; Mr SPEAKER
more Sir WILLIAMIRVINE; Sir WILLIAM IRVINE
Motion \(by Mr BABTOX; Mr BABTOX
Motion \(by Mr LTOK; Mr LUCK
Mr ABCHDALE PABKHILL; Mr ARCHDALE PARKHILL
Mr ABCHDALE PAEKHILL; Mr ARCHDALE PARKHILL
Mr ABCHDALE PARKHILL; Mr ARCHDALE PARKHILL
Mr ABCHIE CAMEBON; Mr ARCHIE CAMERON
Mr ABCHIE CAMEEON; Mr ARCHIE CAMERON
Mr ABCHIE CAMERON; Mr ARCHIE CAMERON
Mr ABOUDAUS PAUKHIIX; Mr ARCHDALE PARKHILL
Mr ACTJNG SPEAKER; Mr ACTING SPEAKER
Mr ADEBMANN; Mr ADERMANN
Mr ADERMANN; Mr ADERMANN
Mr AECHDALE PAEKHILL; Mr ARCHDALE PARKHILL
Mr AECHDALE PARKHILL; Mr ARCHDALE PARKHILL
Mr AGAR WYNNE; Mr AGAR WYNNE
Mr AGARWYNNE; Mr AGAR WYNNE
Mr AKCHIE CAMEKON; Mr ARCHIE CAMERON
Mr AKCHIE CAMERON; Mr ARCHIE CAMERON
Mr ALLAN ERASER; Mr ALLAN FRASER
Mr ANST EY; Mr ANSTEY
Mr ARCHDAL EPARKHILL; Mr ARCHDALE PARKHILL
Mr ARCHDALE PABKHILL; Mr ARCHDALE PARKHILL
Mr ARCHDALE PAEKHILL; Mr ARCHDALE PARKHILL
Mr ARCHDALK PABKHILL; Mr ARCHDALE PARKHILL
Mr ARCHIE CAMEBON; Mr ARCHIE CAMERON
Mr ARCHIE CAMEKON; Mr ARCHIE CAMERON
Mr ATKINS ON; Mr ATKINSON
Mr AVTLSON; Mr WILSON
Mr BAILLTEU; Mr BAILLIEU
Mr BAKBK; Mr BAKER
Mr BAKEE; Mr BAKER
Mr BAMFOKD; Mr BAMFORD
Mr BBENNAN; Mr BRENNAN
Mr BBUCE; Mr BRUCE
Mr BEASLJIY; Mr BEASLEY
Mr BEAXE; Mr BEALE
Mr\. BI-AIN\.; Mr BLAIN
Mr BILLSON; Mr BILSON
Mr BKUCE; Mr BRUCE
Mr BLAI N; Mr BLAIN
Mr BRAITHW; Mr BRAITHWAITE
Mr BRTJCE; Mr BRUCE
Mr BUBNS; Mr BURNS
Mr BUECHELL; Mr BURCHELL
Mr BUKNS; Mr BURNS
Mr CALWEIX; Mr CALWELL
Mr CASKV; Mr CASH
Mr CHABLTON; Mr CHARLTON
Mr CHAMBEBS; Mr CHAMBERS
Mr CHANE Y; Mr CHANEY
Mr CHIFLET; Mr CHIFLEY
Mr CHIELEY; Mr CHIFLEY
Mr CHIFLEV; Mr CHIFLEY
Mr CHOUGH; Mr PLOUGH
Mr CKOUOH; Mr CROUCH
Mr CLAEK; Mr CLARK
Mr CLJBTIN; Mr CURTIN
Mr CLYDE CAMEEON; Mr CLYDE CAMERON
Mr CLYDE OAMERON; Mr CLYDE CAMERON
Mr CLYDECAMERON; Mr CLYDE CAMERON
Mr COBSER; Mr CORSER
Mr COKSER; Mr CORSER
Mr CORTITT; Mr CORBETT
Mr COW AN; Mr COWAN
Mr CTJRTIN; Mr CURTIN
Mr CUBTIN; Mr CURTIN
Mr CUETIN; Mr CURTIN
Mr CUKTIN; Mr CURTIN
Mr CUNNINGHA M; Mr CUNNINGHAM
Mr CURTIS; Mr CURTIN
Mr DAL Y; Mr DALY
Mr DEAKEFOED; Mr DRAKEFORD
Mr DEAST; Mr DEAN
Mr DEPUTY SPXAXBB; Mr DEPUTY SPEAKER
Mr DEPUTYSPEAKER; Mr DEPUTY SPEAKER
Mr DOWNEB; Mr DOWNER
Mr DTJTHIE; Mr DUTHIE
Mr DUGALDTHOMSON; Mr DUGALD THOMSON
Mr EAILES; Mr FAILES
Mr EENT ON; Mr FENTON
Mr EENTON; Mr FENTON
Mr EIOEDAN; Mr RIORDAN
Mr EJAMES HARRINSON; Mr EJ HARRINSON
Mr EKANCIS; Mr FRANCIS
Mr EOBDE; Mr FORDE
Mr EODGEES; Mr RODGERS
Mr EORDE; Mr FORDE
Mr F ADMEN; Mr FADDEN
Mr FAD DEN; Mr FADDEN
Mr FAIRBAIN; Mr FAIRBAIRN
Mr FALKINEB; Mr FALKINER
Mr FBANCIS; Mr FRANCIS
Mr FEANCIS; Mr FRANCIS
Mr FEN TON; Mr FENTON
Mr FEOST; Mr FROST
Mr FISHEB; Mr FISHER
Mr FISHES; Mr FISHER
Mr FKANCIS; Mr FRANCIS
Mr FOBDE; Mr FORDE
Mr FOEDE; Mr FORDE
Mr FOKDE; Mr FORDE
Mr FOWLEB; Mr FOWLER
Mr FRANOIS; Mr FRANCIS
Mr G-ROOM; Mr GROOM
Mr GABDINEB; Mr GARDINER
Mr GAL WELL; Mr CALWELL
Mr GANDEB; Mr GANDER
Mr GANDEE; Mr GANDER
Mr GBEGOBY; Mr GREGORY
Mr GBOOM; Mr GROOM
Mr GEEGOBY; Mr GREGORY
Mr GEOOM; Mr GROOM
Mr GKEEN; Mr GREEN
Mr GKEENE; Mr GREENE
Mr GKEQOBY; Mr GREGORY
Mr GKOOM; Mr GROOM
Mr GLYN N; Mr GLYNN
Mr GOLLETT; Mr GULLETT
Mr GREENE; Mr MASSYGREENE
Mr GREGOBY; Mr GREGORY
Mr GREGORT; Mr GREGORY
Mr GREOOKY; Mr GREGORY
Mr GTJLLETT; Mr GULLETT
Mr HA YDEN; Mr HAYDEN
Mr HABEISON\.; Mr HARRISON
Mr HABJWSON; Mr HARRISON
Mr HAERIS ON\.; Mr HARRISON
Mr HALLEIT; Mr HALLETT
Mr HANSIRVINE; Mr HANS IRVINE
Mr HARBISON; Mr HARRISON
Mr HASLTJCK; Mr HASLUCK
Mr HATJHISON; Mr HARRISON
Mr HAWKE R; Mr HAWKER
Mr HAWKICK; Mr HAWKER
Mr HECTOB LAMOND; Mr HECTOR LAMOND
Mr HOLLOW AY; Mr HOLLOWAY
Mr HOW ARD; Mr HOWARD
Mr HTJGHES; Mr HUGHES
Mr HUOHES; Mr HUGHES
Mr IFOWLER; Mr FOWLER
Mr JACKSQN; Mr JACKSON
Mr JAMBS; Mr JAMES
Mr JAOKSON; Mr JACKSON
Mr JOHNLAWSON; Mr JOHN LAWSON
Mr JOSEP HCOOK; Mr JOSEPH COOK
Mr JOSEPHCOOK; Mr JOSEPH COOK
Mr JOSEPJ COOK; Mr JOSEPH COOK
Mr KEA TING; Mr KEATING
Mr KELL Y; Mr KELLY
Mr KENTHUGHES; Mr KENT HUGHES
Mr LAIBD SMITH; Mr LAIRD SMITH
Mr LAIBDSMITH; Mr LAIRD SMITH
Mr LAIED SMITH; Mr LAIRD SMITH
Mr LAIRDSMITH; Mr LAIRD SMITH
Mr LANO; Mr LANG
Mr LAZZABINI; Mr LAZZARINI
Mr LAZZAEINI; Mr LAZZARINI
Mr LAZZARINL; Mr LAZZARINI
Mr LEWTS; Mr LEWIS
Mr LONSDAL E; Mr LONSDALE
Mr LUCHEITI; Mr LUCHETTI
Mr MABB; Mr MARR
Mr MABR; Mr MARR
Mr MACKA Y; Mr MACKAY
Mr MAEE; Mr MARR
Mr MAEWICK; Mr MARWICK
Mr MAKE; Mr MARR
Mr MAKWICK; Mr MARWICK
Mr MANNI NG; Mr MANNING
Mr MARK; Mr MARR
Mr MATBJSWS; Mr MATHEWS
Mr MAXWIELL; Mr MAXWELL
Mr MCCAXX; Mr MCCALL
Mr MCDONAXD; Mr MCDONALD
Mr MCGBATH; Mr MCGRATH
Mr MCGEATH; Mr MCGRATH
Mr MCGKATH; Mr MCGRATH
Mr MCWILIIAMS; Mr MCWILLIAMS
Mr MEKTZIES; Mr MENZIES
Mr MOEWEN; Mr MCEWEN
Mr MOUNT JOY; Mr MOUNTJOY
Mr NEISON; Mr NELSON
Mr OOJRSER; Mr CORSER
Mr OORXIN; Mr CURTIN
Mr OSBOBNE; Mr OSBORNE
Mr OUBTOT; Mr CURTIN
Mr OURTIN; Mr CURTIN
Mr P; NA
Mr PABKEB MOLONEY; Mr PARKER MOLONEY
Mr PABKTER MOLONEY; Mr PARKER MOLONEY
Mr PADDEN; Mr FADDEN
Mr PAEKER MALONEY; Mr PARKER MOLONEY
Mr PARKERMOLONEY; Mr PARKER MOLONEY
Mr PATEBSON; Mr PATERSON
Mr PATEESOK; Mr PATERSON
Mr PATEESON; Mr PATERSON
Mr PATEKSON; Mr PATERSON
Mr PBANCTS; Mr FRANCIS
Mr PBOWSE; Mr PROWSE
Mr PEATTEN; Mr PRATTEN
Mr PEATTJEK; Mr PRATTEN
Mr PEBKINS; Mr PERKINS
Mr PEEKINS; Mr PERKINS
Mr PENTON; Mr FENTON
Mr PEOWSE; Mr PROWSE
Mr PICOTT; Mr PIGOTT
Mr PINLAYSON; Mr FINLAYSON
Mr POLLAED; Mr POLLARD
Mr PORDE; Mr FORDE
Mr POSTER; Mr FOSTER
Mr POYXTON; Mr POYNTON
Mr RICHABD FOSTEB; Mr RICHARD FOSTER
Mr RICHABD POSTEB; Mr RICHARD FOSTER
Mr RICHABDFOSTEB; Mr RICHARD FOSTER
Mr RICHAHD FOSTER; Mr RICHARD FOSTER
Mr RICHARD FOSTEB; Mr RICHARD FOSTER
Mr RICHARD POSTER; Mr RICHARD FOSTER
Mr RICHARDFOSTER; Mr RICHARD FOSTER
Mr RILET; Mr RILEY
Mr ROBINSO N; Mr ROBINSON
Mr RODGEBS; Mr RODGERS
Mr ROSEVEAK; Mr ROSEVEAR
Mr ROSEVKAH; Mr ROSEVEAR
Mr SAMPSO N; Mr SAMPSON
Mr SAW FORD; Mr SAWFORD
Mr SCUXLHV; Mr SCULLIN
Mr SEABBOOK; Mr SEABROOK
Mr SEAKKOOK; Mr SEABROOK
Mr SHABPE; Mr SHARPE
Mr SHAEPE; Mr SHARPE
Mr Shorten: Mr SPEAKER; Mr SPEAKER
Mr SINCLAIB; Mr SINCLAIR
Mr SINCLAIK; Mr SINCLAIR
Mr SMBA-KEB; Mr SPEAKER
Mr SMBA; Mr SPEAKER
Mr SOULLIN; Mr SCULLIN
Mr SOUXLHT; Mr SCULLIN
Mr SPEABEB; Mr SPEAKER
Mr SPEAXER; Mr SPEAKER
Mr SPENDEK; Mr SPENDER
Mr STBEET; Mr STREET
Mr STEWABT; Mr STEWART
Mr STEWAKT; Mr STEWART
Mr TDDOR; Mr TUDOR
Mr THEODOKE; Mr THEODORE
Mr TITENBTJLL; Mr TURNBULL
Mr TOWNXEY; Mr TOWNLEY
Mr TTJRNBTJLL; Mr TURNBULL
Mr TUDOB; Mr TUDOR
Mr TUDOE; Mr TUDOR
Mr TUDOK; Mr TUDOR
Mr TUENBULL; Mr TURNBULL
Mr TUKNBULL; Mr TURNBULL
Mr TURNBTJLL; Mr TURNBULL
Mr WAED; Mr WARD
Mr WEBSTEB; Mr WEBSTER
Mr WENTWOETH; Mr WENTWORTH
Mrs DE; Mrs DEANNE KELLY
Ms Henderson: Mr SPEAKER; Mr SPEAKER
My Dr MALONEY; Dr MALONEY
n Mr LYONS; Mr LYONS
NOES Mr BEAZLEY; Mr BEAZLEY
NOES\. Mr BEASLEY; Mr BEASLEY
NOES\. Mr MENZIES; Mr MENZIES
Norfolk Island Mr CONNOLLY; Mr CONNOLLY
num- \. Mr MCWILLIAMS; Mr MCWILLIAMS
of big Mr YOUNG; Mr YOUNG
of dis Mr DEPUTY SPEAKER; Mr DEPUTY SPEAKER
of motion by Sir JOHN FORREST; Sir JOHN FORREST
of Mr HURFORD; Mr HURFORD
of Mr MALCOLM FRASER; Mr MALCOLM FRASER
of Mr SPEAKER; Mr SPEAKER
of the AusDr JF CAIRNS; Dr JF CAIRNS
of the Mr SPEAKER; Mr SPEAKER
of the woods\, Mr DEPUTY SPEAKER; Mr DEPUTY SPEAKER
overwhelm Mr RODGEBS; Mr RODGERS
page 10460\)\, on motion by Mr WAT T; Mr WATT
page 2386\)\, on motion by Mr THOMP; Mr THOMPSON
page 433\)\, on motion by Mr HILI; Mr HILL
PAIRS\. Mr BRUCE; Mr BRUCE
PAIRS\. Mr CUNNINGHAM; Mr CUNNINGHAM
PAPERS\. Mr JOSEPH COOK; Mr JOSEPH COOK
Parliament House\, Mr CLYDE CAMERON; Mr CLYDE CAMERON
per Mr HAYDEN; Mr HAYDEN
per- Mr BURCHELL; Mr BURCHELL
previous Mr SPEAKER; Mr SPEAKER
Questions to Mr SPEAKER; Mr SPEAKER
remarks Mr SAMPSON; Mr SAMPSON
