original; corrected
Sir WILLIAMMCMILLAN; Sir WILLIAM MCMILLAN
Sir WJLLIAM MCMILLAN; Sir WILLIAM MCMILLAN
to this Mr SYDNEY SMITH; Mr SYDNEY SMITH
Motion \(by Mr BABTOX\,\) proposed; Motion (by Mr BARTON) proposed
\, Mr O'MALLEY; Mr OMALLEY
Mi \. O \' MALLEY; Mr OMALLEY
Mi:\. WILKS; Mr WILKS
Mr CONKOY; Mr CONROY
Mr JOSEPH\. COOK; Mr JOSEPH COOK
Mr KIRAVAN; Mr KIRWAN
Mr O\'Malley-; Mr OMALLEY - 
Mr O\'MALLEY; Mr OMALLEY
Mr V \. L \. SOLOMON; Mr VL SOLOMON
Mr V \. L\. SOLOMON; Mr VL SOLOMON
Mr WILICS; Mr WILKS
not \'° Mr BARTON; Mr BARTON
Mr Connolly asked; Mr CONNOLLY asked
Mr Connolly asked; Mr CONNOLLY asked
Mr Costello asked; Mr COSTELLO asked
Mr MCArthur asked; Mr MCARTHUR asked
Mr Connolly asked; Mr CONNOLLY asked
Mr Connolly asked; Mr CONNOLLY asked
Mr Connolly asked; Mr CONNOLLY asked
Mr MCArthur asked; Mr MCARTHUR asked
Mr Costello asked; Mr COSTELLO asked
Mrs Gallus asked; Mrs GALLUS asked
Mr Cameron asked; Mr CAMERON asked
Mr Nugent asked; Mr NUGENT asked
Mr Nugent asked; Mr NUGENT asked
Mr Nugent asked; Mr NUGENT asked
Mr Evans asked; Mr EVANS asked
Mr Prosser asked; Mr PROSSER asked
Mr Prosser asked; Mr PROSSER asked
Mr Connolly asked; Mr CONNOLLY asked
Mrs Gallus asked; Mrs GALLUS asked
Mrs Gallus asked; Mrs GALLUS asked
Mr Ruddock asked; Mr RUDDOCK asked
Mrs Gallus asked; Mrs GALLUS asked
Mr MCArthur asked; Mr MCARTHUR asked
MrBeddall-; MrBEDDALL-
Mr LEO MCLEAY\. -; Mr LEO MCLEAY -
Mr Spea-er; Mr Speaker
Dr Hewson-; Dr HEWSON -
Mr Melham-; Mr MELHAM -
Mr Beazley-; Mr BEAZLEY -
Dr Hewson-; Dr HEWSON -
Dr Hewson-; Dr HEWSON -
Mr Keating-; Mr KEATING -
Mr Somlyay-; Mr SOMLYAY -
Mr Gear-; Mr GEAR -
Dr Hewson-; Dr HEWSON -
Mr Cadman-; Mr CADMAN -
Mr Filing-; Mr FILING -
Mr Lloyd-; Mr LLOYD -
Mr Reid-; Mr REID -
Mr Cobb-; Mr COBB -
Mr Kerr-; Mr KERR -
Mr Slipper-; Mr SLIPPER -
Mr Speaker-; Mr SPEAKER -
Mr Speaker-; Mr SPEAKER -
Mr Griffiths-; Mr GRIFFITHS -
Mr Keating-; Mr KEATING -
Mrs Kelly-; Mrs KELLY -
Mr Lavarch-; Mr LAVARCH -
Mr Howe-; Mr HOWE -
Mr Beazley-; Mr BEAZLEY -
Mrs Kelly-; Mrs KELLY -
Mr Howe-; Mr HOWE -
Mr Griffiths-; Mr GRIFFITHS -
Mr Lavarch-; Mr LAVARCH -
Mr Beazley-; Mr BEAZLEY -
Mr Brereton-; Mr BRERETON -
Mr Griffiths-; Mr GRIFFITHS -
Mr Walker-; Mr WALKER -
Mr Keating-; Mr KEATING -
Mrs Kelly-; Mrs KELLY -
Mrs Kelly-; Mrs KELLY -
Mr Beazley-; Mr BEAZLEY -
Mr Beazley-; Mr BEAZLEY -
\. Mr BRAITHWAITE; Mr BRAITHWAITE
Mr HA WKE; Mr HAWKE
Mr Hodgman-; Mr HODGMAN -
Mr Hodgman-; Mr HODGMAN -
Mr White-; Mr WHITE -
Mr Hunt-; Mr HUNT -
Mr Peacock-; Mr PEACOCK -
Mr Howard-; Mr HOWARD -
Mr N\. A\. Brown-; Mr NA BROWN -
Mr N\. A\. BrowD-; Mr NA BROWN -
Mr N\. A\. BrowD-; Mr NA BROWN -
Mr N\. A\. Brown-; Mr NA BROWN -
Mr Peacock-; Mr PEACOCK -
Mr Young-; Mr YOUNG -
Mr N\. A\. BROWN; Mr NA BROWN
Mr O\'KEEFE; Mr OKEEFE
Mr N\. A\. BROWN; Mr NA BROWN
MrDONALDCAMERON; Mr DONALD CAMERON
Mr RUDDOCK \'(Dundas)-; Mr RUDDOCK (
Mr N\.· A\. Brown; Mr NA BROWN 
\. Mr SPEAKER; Mr SPEAKER
Mr HA WKE; Mr HAWKE
Mr O\'NEIL; Mr ONEIL
MrCHYNOWETH; Mr CHYNOWETH
Mr Mountford-; Mr MOUNTFORD
Mr Hawke-; Mr HAWKE -
Mr O\'KEEFE-; Mr OKEEFE -
Mr Shipton-; Mr SHIPTON -
Mr Howard- ; Mr HOWARD -
Mr Peacock-; Mr PEACOCK -
Mr Lusher-; Mr LUSHER -
Mr Morrison-; Mr MORRISON -
Mr Hodgman-; Mr HODGMAN -
MrDEPUTY; Mr DEPUTY
Mr Tuckey-; Mr TUCKEY -
Mr Howard-; Mr HOWARD -
Mr Campbell-; Mr CAMPBELL -
Mr Coleman-; Mr COLEMAN -
Mr Scott-; Mr SCOTT -
Mr Hunt-; Mr HUNT -
Mr Spender-; Mr SPENDER -
Mr Duffy-; Mr DUFFY -
Mr Cohen-; Mr COHEN -
Mr ANTHON Y; Mr ANTHONY
Mr HO WARD; Mr HOWARD
Mr M i l l a r -; Mr MILLAR -
MrBaillieu-; Mr BAILLIEU -
Mr Hurford-; Mr HURFORD -
Mr Willis-; Mr WILLIS -
Mr Graham-; Mr GRAHAM -
Mr Holding-; Mr HOLDING -
Mr Calder-; Mr CALDER -
Mr Viner-; Mr VINER -
Mr Giles\)-; Mr GILES) -
Mr Scholes-; Mr SCHOLES -
Mr Baillieu-; Mr BAILLIEU -
Mr Yates-; Mr YATES -
Mr Baume-; Mr BAUME -
Mr Chapman-; Mr CHAPMAN -
Mr Staley-; Mr STALEY -
Mr Goodluck-; Mr GOODLUCK -
Mr Les MCMahon-; Mr LES MCMAHON -
Mr Roger Johnston-; Mr ROGER JOHNSTON -
Mr Les Johnson-; Mr LES JOHNSON -
Mr Lionel Bowen-; Mr LIONEL BOWEN -
Mr Deputy Speaker-; Mr DEPUTY SPEAKER -
Mr Cope-; Mr COPE -
Mr Reynolds-; Mr REYNOLDS -
Mr Hayden-; Mr HAYDEN -
Mr Duthie-; Mr DUTHIE -
Mr Grassby-; Mr GRASSBY -
Mr Giles-; Mr GILES -
Mr Barnes-; Mr BARNES -
Mr Kevin Caims-; Mr KEVIN CAIRNS -
Mr Howson-; Mr HOWSON -
Mr MCMahon-; Mr MCMAHON -
Mr Wentworth-; Mr WENTWORTH -
Mr Les Johnson asked; Mr LES JOHNSON asked
Mr Stewart asked; Mr STEWART asked
Mr Morrison asked; Mr MORRISON asked
Mr WHITLA M; Mr WHITLAM
MTHAMER; Mr HAMMER
Mr Collard-;  Mr COLLARD -
Mr Foster-; Mr FOSTER -
Mr FitzPATRICK-; Mr FITZPATRICK -
Mr Whitlam-; Mr WHITLAM -
Mr Maicoim Fraser-; Mr MALCOLM FRASER -
Mr Malcolm Fraser-; Mr MALCOLM FRASER -
Mr HALLETT; Mr HALLEIT
Mr MAISKY; Mr MAISEY
Mr Uren-; Mr UREN -
Mr BRIDGES-MAXWELL; Mr BRIDGESMAXWELL
Mr James-; Mr JAMES -
Mr Hansen-; Mr HANSEN -
Mr Anthony-; Mr ANTHONY -
Mr Clyde Cameron-; Mr CLYDE CAMERON -
Mr Oyde Cameron-; Mr CLYDE CAMERON -
Mr Currin-; Mr CURRIN -
Mr Bryant-; Mr BRYANT -
Mr Birrell-; Mr BIRRELL -
Mr Pettitt-; Mr PETTITT -
Mr Barnard-; Mr BARNARD -
Mr Sinclair-; Mr SINCLAIR -
Mr Freeth-; Mr FREETH -
Mr Bur\)\'-; Mr BURR -
Mr Swartz-; Mr SWARTZ -
Mr Hulme-; Mr HULME -
Mr Whitlam asked lhe; Mr WHITLAM asked the
Mr Cross asked the; Mr CROSS asked the
Mr Minogue asked the; Mr MINOGUE asked the
Dr Kveriiighiim asked the; Dr EVERINGHAM asked the
Dr J\. F\. CAIRNS; Dr JF CAIRNS
Dr J\. F\. Cairns; Dr JF CAIRNS
Mr Barnes -; Mr BARNES -
Mr Bury -; Mr BURY -
Mr Calwell asked the; Mr CALWELL asked the
Mr Clyde Cameron asked the; Mr CLYDE CAMERON asked the
Mr Daly asked the; Mr DALY asked the
Mr Fairbairn -; Mr FAIRBAIN -
Mr Fairhall -; Mr FAIRHALL -
Mr Fox -; Mr FOX -
Mr Gibson -; Mr GIBSON -
Mr Hansen asked the; Mr HANSEN asked the
Mr Harold Holt -; Mr HAROLD HOLT -
Mr Hayden asked the; Mr HAYDEN asked the
Mr J\. R\. FRASER; Mr JR FRASER
Mr L \. R\. Johnson asked the; Mr LR Johnson asked the
Mr Luchetti asked the; Mr LUCHETTI asked the
Mr Nixon -; Mr NIXON -
Mr Reynolds asked the; Mr REYNOLDS asked the
Mr Svrartz -; Mr SWARTZ -
Mr Swartz -; Mr SWARTZ -
Mr Whitlam asked the; Mr WHITLAM asked the
Sir Robert Menzies -; Sir ROBERT MENZIES -
Sir-Robert Menzies -; Sir ROBERT MENZIES -
\' Mr DEUMMOND; Mr DRUMMOND
Mr BEANO; Mr BRAND
Mr BIKD; Mr BIRD
Mr CALWEL L; Mr CALWELL
Mr CLYDE CAMEBON; Mr CLYDE CAMERON
Mr CTJBTTN; Mr CURTIN
Mr CUBTTN; Mr CURTIN
Mr EE ALE; Mr BEALE
Mr FAIEHALL; Mr FAIRHALL
Mr HAYXEN; Mr HAYLEN
Mr OALWELL; Mr CALWELL
Mr OSBOBNB; Mr OSBORNE
Mr OSUOKNK; Mr OSBORNE
Mr PEAKCE; Mr PEARCE
Mr POLI; Mr POLLARD
Mr TUBWBUIX; Mr TURNBULL
Mr TUBNBULL; Mr TURNBULL
Mr WENTWOKTH; Mr WENTWORTH
Sir ARTHUR FADWEN; Sir ARTHUR FADDEN
Sir ARTHURFADDEN; Sir ARTHUR FADDEN
Sir EBIC HABBISON; Sir ERIC HARRISON
Sir EBIC HARRISON; Sir ERIC HARRISON
Mr E. JAMES HARRISON; Mr EJAMES HARRISON
Mr E. W. HOLT; Mr EW HOLT
Mr M c EWEN; Mr MCEWEN
Mr M c MAHON; Mr MCMAHON
Mr CALWELI\,; Mr CALWELL
Mr CALWKI\.I\.; Mr CALWELL
Mr TTJBNBUXI\.; Mr TURNBULL
Mr £\. JAMES HARRISON; Mr JAMES HARRISON
Mr TTjTltira-rjLL; Mr TURNBULL
Mr POLI-ABD; Mr POLLARD
Mr PorxAuD; Mr POLLARD
The TEMPORARYCHAIRMAN; The TEMPORARY CHAIRMAN
Sir ARTHU R FADDEN; Sir ARTHUR FADDEN
Tie TEMPORARY CHAIRMAN; The TEMPORARY CHAIRMAN
\( THE TEMPORARY CHAIRMAN; The TEMPORARY CHAIRMAN
ARTHTJB FADDEN; ARTHUR FADDEN
Mr E\. JAMES HARRISON; Mr EJAMES HARRINSON
Mr ACTING DEPUTY SPEAKER; Mr ACTING DEPUTYSPEAKER -
Mr ACTING DEPUTY SPEAKER\.; Mr ACTING DEPUTYSPEAKER -
\' Mr MENZIKS; Mr MENZIES
is now Mr KENT HUGHES; Mr KENT HUGHES
Mr BBYSON; Mr BRYSON
Mr DAXY; Mr DALY
Mr EADDEN; Mr FADDEN
Mr MCBEIDE; Mr MCBRIDE
Mr POLLABD; Mr POLLARD 
Mr TOM BUBKE; Mr TOM BURKE
Mr WAKD; Mr WARD
- Mr TOM BURKE; Mr TOM BURKE
Mr SPENDER,; Mr SPENDER
NOES\. Dr EVATT; Dr EVATT
Mr Eooiifs; Mr EGGINS
Mr CALWELL\'; Mr CALWELL
Mr MCBKIDE; Mr MCBRIDE
Mr MCBBIDE; Mr MCBRIDE
Mr MoBRIDE; Mr MCBRIDE
Mr M c BRIDE; Mr MCBRIDE
Mr M o BEIDE; Mr MCBRIDE
Mr M o BRIDE; Mr MCBRIDE
Sir EABLE PAGE; Sir EARLE PAGE
Sir EAELE PAGE; Sir EARLE PAGE
Mr MoEWEN; Mr MCEWEN
Tbe CHAIRMAN; The CHAIRMAN
The OHAIBMAiN\'; The CHAIRMAN
The CHAIEMAN\"; The CHAIRMAN
Mr MoCOLM; Mr MCCOLM
Mr WABD; Mr WARD
Mr FADD.EN; Mr FADDEN
Mr EOSEVEAR; Mr ROSEVEAR
Mr TTfRNBTIXL; Mr TURNBULL
Mr ROSEVEAB; Mr ROSEVEAR
Mr SPENDEE; Mr SPENDER
TOM BUEKE; TOM BURKE
Mr SPENDEE\,; Mr SPENDER,
Mr WHEI\'XEH; Mr WHEELER
Mr TURNBUXL; Mr TURNBULL
Mr TtiBNBUi/i\.; Mr TURNBULL
Mr HAWOETH; Mr HAWORTH
Mr MOEGAN; Mr MORGAN
Mr CAT\.WE\.LT,; Mr CALWELL
Mr CKAMEB; Mr CRAMER
Mr DEPUTY\' SPEAKER; Mr DEPUTY SPEAKER
Mr BEAI35; Mr BEALE
Mr \'CALWELL; Mr CALWELL
Mr \.CALWELL; Mr CALWELL
MT\. EIORDAN; Mr RIORDAN
Mr M c LEOD; Mr MCLEOD
Mr HUTCHINSON\^; Mr HUTCHINSON
OHIFLEY; CHIFLEY
HAJRKISON; HARRISON
Mr GEORGE LAWSON\"; Mr GEORGE LAWSON
Mr GEORGE LAWS ON; Mr GEORGE LAWSON
Mr \.BOWDEN; Mr BOWDEN
Afr\. GEOEGE LAWSON; Mr GEORGE LAWSON
The TEMPOEAEY CHAIEMAN; The TEMPORARY CHAIRMAN -
Mr O\'CONNOR \(West Sydney\) [5\.21]\.; Mr OCONNOR - 
Mr O\'CONNOR; Mr OCONNOR
Mr O\'CONNOR,; Mr OCONNOR
Air\. O\'CONNOR; Mr OCONNOR
The TEMPORARY CHAIRMAN; The TEMPORARY CHAIRMAN -
Mr O\'CONNOR,; Mr OCONNOR 
The TEMPORARY CHAIRMAN -; The TEMPORARY CHAIRMAN -
Mr\. TUHNBU-LL; Mr TURNBULL
Mr ERASER; Mr FRASER
Mr CHIFLEY\.:; Mr CHIFLEY
Mr BCISLCY; Mr BEASLEY
CIIIFLEY; CHIFLEY
Mi-\. WARD \(East Sydney-Ministe r; Mr WARD
Mi\\ BURKE \(Perth\) [5\.22]\.; Mr BURKE
Dr\. GAHA; Dr GAHA
Dr\. GAHA \(Denison\) [3\.41]; Dr GAHA
Mi-\. SPEAKER \(Hon\. J\. S\. Rosevear\)\.; Mr SPEAKER
Mr FADDEN\"; Mr FADDEN
\' Mr HARBISON\"; Mr HARBISON
Mr B LACKBURN J; Mr BLACKBURN
Mr E \. GREEN; Mr E GREEN
M i \\ I t \. GREEN; Mr R GREEN
Mr ROSEVEAB\, \(Dalley\) [10\.40] -; Mr ROSEVEAR
Mr E\. J\. HABKISON; MR EJ HARRISON
Mr A\. GBEEN; Mr A GREEN
Mr BLACKBURN\"; Mr BLACKBURN
Mr \.BLACKBURN; Mr BLACKBURN
ARCHIECAMERON; ARCHIE CAMERON
Parliament Mr ARCHIECAMERON; Mr ARCHIE CAMERON
Mr \"WHITE; Mr WHITE 
Mr E\. J\. HARRISON\"; Mr EF HARRISON
Mr E\. J\.\. HARRISON; Mr EF HARRISON
Mr A\. GREEN; Mr A GREEN
Mr ROSEVEAR\,; Mr ROSEVEAR
Mr LYONS:-; Mr LYONS
Mi-\. WATSON; Mr WATSON
Mr R\. GREEN; Mr R GREEN 
Mr R \. GREEN; Mr R GREEN
Mr HOI\.LOWAT; Mr HOLLOWAY
Sir LITTLETON GROOM\.; Sir LITTLETON GROOM
The CHAIRMAN \( Mr Bell\); The CHAIRMAN
Mr BE AS LEV; Mr BEASLEY
The CHAIRMAN\"; The CHAIRMAN
Dr\. MALONEY \(Melbourne\) [8\.35]; Dr MALONEY
Mr BILE v; Mr RILEY
Mr LATHAM\.; Mr LATHAM
Mr AROHDAI\.E PARKHJXI\,; Mr ARCHDALE PARKHILL
Air\. LATHAM; Mr LATHAM
Mr FOB\.DE; Mr FORDE
Mr BEASLEY\. \(West Sydney\); Mr BEASLEY
Mr E\. F \. ILVRUJSON; Mr EF HARRISON
Mr E \. F \. HARKISOX; Mr EF HARRISON
Mr ROSEVEAR "\(Dalley\) [10\.46]; Mr ROSEVEAR
Mr HUGHES\.r; Mr HUGHES
Mr c BURCHELL; Mr C BURCHELL
Mr J\. H \. CATTS; Mr JH CATTS
Mr J \. H \. CATTS; Mr JH CATTS
Mr W \. ELLIOT JOHNSON; Mr W ELLIOTJOHNSON
MT \. THOMAS; Mr THOMAS
Mr JOH N THOMSON; Mr JOHN THOMSON
The CHAIRMAN \"; The CHAIRMAN
Mr JOHN\" THOMSON; Mr JOHN THOMSON
Mr ATKINSON\"; Mr ATKINSON
- Mr WEST; Mr WEST
Dr\. MALONEY; Dr MALONEY
- Mr THOMAS; Mr THOMAS
MAUGE R; MAUGER
\' Mr REID; Mr REID
AUSTINCHAPMAN; AUSTIN CHAPMAN
WILLIAMLYNE; WILLIAMLYNE
Colonel F\.OXTON; Colonel FOXTON
Mi-\. JOSEPH COOK; Mr JOSEPH COOK
Mr \"MAHON; Mr MCMAHON
Mr \.KINGSTON; Mr KINGSTON
Mr \.WEBSTER; Mr WEBSTER
Mr A MCLEAN\"; Mr A MCLEAN
Mr A\. MCLEAN; Mr A MCLEAN
Mr F\. E\. M c BEAN \(Lang\); Mr FE MCLEAN
Mr F\. E\. M c LEAN \(Lang\); Mr FE MCLEAN
Mr F\. E\. M c LEAN; Mr FE MCLEAN
Mr F\. E\. MCLEAN; Mr FE MCLEAN
Mr HUME COOK\,; Mr HUME COOK
Mr JOSEPH COO'K; Mr JOSEPH COOK
Mr JOSEPH COOK\"; Mr JOSEPH COOK
Mr KIN G OMALLEY; Mr KING OMALLEY
Mr KING O ' MALLEY; Mr KING OMALLEY
Mr KINGO ' MALLEY; Mr KING OMALLEY
Mr LE GROOM'; Mr LE GROOM
Mr P\. E\. MCLEAN; Mr FE MCLEAN
Mr W\. H \. IRVINE; Mr WH IRVINE
Sir EDWARD BRADDON\"; Sir EDWARD BRADDON
Sir EDWARDBRADDON \(Tasmania\)\.; Sir EDWARD BRADDON
Sir G EORGE TURNER; Sir GEORGE TURNER
Sir GEORGE TURN ER \(Balaclava; Sir GEORGE TURNER
Sir GEORGE\. TURNER; Sir GEORGE TURNER
Sir JOHN FORREST'; Sir JOHN FORREST
Sir JOHN P'ORREST; Sir JOHN FORREST
Sir WILLIA M LYNE \(Hume; Sir WILLIAM LYNE
Sir WILLIA M LYNE; Sir WILLIAM LYNE
Sir WILLIAM \! MCMILLAN; Sir WILLIAM MCMILLIAN
\. Mr BARTON; Mr BARTON
Mr SYDNEYSMITH; Mr SYDNEY SMITH
Mr R\. EDWARDS; Mr R EDWARDS
Mr DEAKIN \"; Mr DEAKIN
Mr G\. B\. EDWARDS; Mr GB EDWARDS
Mr KI NGST ON; Mr KINGSTON
Mr M o CAY; Mr MCCAY 
Mr \"WATSON; Mr WATSON
Sir MALCOLMM c EACHARN; Sir MALCOLM MCEACHARN
Mr WATSON\"; Mr WATSON
Mr KINGSTON\"; Mr KINGSTON
Mt\. THOMSON; Mr THOMSON
Mr WATSO N; Mr WATSON
Sir JOHNQUICK; Sir JOHN QUICK
SirGEORGE TURNER; Sir GEORGE TURNER
Mr CONROY \'\(Werriwa\); Mr CONROY (Werriwa)
Mr P\. E\. M c LEAN; Mr PE MCLEAN
\. Mr M c DONALD; Mr MCDONALD
Mr G\. B\. EDWARDS \(South Sydney\)\.; Mr GB EDWARDS (South Sydney)
Mr MACDONALD-PATERSON; Mr MACDONALDPATERSON
Mr M c DONA LD; Mr MCDONALD
Mr M c DONALD; Mr MCDONALD
Mr L \. E\. GROOM; Mr LE GROOM
Mr W\. H \. GKOOM; Mr WH GROOM
Mr W\. H \. GROOM; Mr WH GROOM
Mr W \. H \. GROOM; Mr WH GROOM
Mr HlGOlNS; Mr HIGGINS
Mr KLNT\.STON; Mr KINGSTON
Mr HIGGIXS; Mr HIGGINS
Mr SPExVKER; Mr SPEAKER
\. Mr A\. MCLEAN; Mr A MCLEAN
Mr TUD OR; Mr TUDOR
- Sir WILLIAM \, MCMILLAN; Sir WILLIAM MCMILLAN
Mr \.\.DJ3A\.KI5T -T-; Mr DEAKIN
Mr\.JPIESSE; Mr PIESSE
M c WILLIAMS; MCWILLIAMS
GBEENE; GREENE
Mr PISHER; Mr FISHER
Mr FLNXAYSON; Mr FINLAYSON
Mr ORCHAR D; Mr ORCHARD
Mr PISHES; Mr FISHER
\. Sir W 1 LLIAMLYNE; Sir WILLIAM LYNE
A n HONORABLE MEMBER; An HONOURABLE MEMBER
An HONORABLE MEMBER; An HONOURABLE MEMBER
HONOHABLE MEMBERS; HONOURABLE MEMBERS
I A n HONORABLE MEMBER; An HONOURABLE MEMBER
M T\. SYDNEYSMITH; Mr SYDNEY SMITH
M\.r\. RONALD; Mr RONALD
Mf\. SALMO N; Mr SALMON
Mi\'\. PAGE; Mr PAGE
Mr A \. MCLEAN; Mr A MCLEAN
Mr BATCHELOB; Mr BATCHELOR
Mr BATCHELOR\.; Mr BATCHELOR
Mr CROUC H; Mr CROUCH
Mr E\. SOLOMON; Mr ELIAS SOLOMON
Mr FOWLER\.; Mr FOWLER
Mr H UME COOK; Mr HUME COOK
Mr HIGGIN S; Mr HIGGINS
Mr HIGGINS,-; Mr HIGGINS -
Mr O \' MALLEY; Mr OMALLEY
Mr O\'MALLE Y; Mr OMALLEY
Mr POYNTO N; Mr POYNTON
Mr SALMO N; Mr SOLMON
Mr SYDN EY SMITH; Mr SYDNEY SMITH
ShW ILLIAMLYNE; Sir WILLIAM LYNE
ShW ILLIAMMCMILLAN; Sir WILLIAM MCMILLIAN
ShWILLIAM LYNE; Sir WILLIAM LYNE
Sir \"WILLIAM LVNE; Sir WILLIAM LYNE
Sir AAiLLiAM MCMILLAN; Sir WILLIAM MCMILLIAN
Sir AVILLI AM MCMILLAN; Sir WILLIAM MCMILLIAN
Sir WILLIAM \' MCMILLAN; Sir WILLIAM MCMILLIAN
Sir WILLIAM MCMILLAN\.\"; Sir WILLIAM MCMILLIAN
Sir WILLIAMMCMILLAN \(AA\'enfc; Sir WILLIAM MCMILLIAN
Sir WILT\.IA\.M LYNE; Sir WILLIAM LYNE
Sir\. WILLIAM MCMILLAN; Sir WILLIAM MCMILLIAN
Mi-\. BATCHELOR; Mr BATCHELOR
Mi-\. OMALLEY; Mr OMALLEY
Mr -\.SYDNEY S MITH; Mr SYDNEY SMITH
