placenames
Adelaide
Albany
Albury
Alice Springs
Armidale
Ashfield
Badgerys
Bairnsdale
Ballarat
Ballina
Balmain
Banksto
Batemans Bay
Bathurst
Baulkham
Beaudesert
Beenleigh
Bega
Belconnen
Benalla
Bendigo
Birdsville
Blacktown
Bomaderry
Boulder
Bowral
Brisbane
Broken Hill
Broome
Bunbury
Bundaberg
Burdekin
Burnie
Buronga
Busselton
Cairns
Camden Haven
Campbelltown
Canberra
Central Coast
Cessnock
Charleville
Clontarf
Coffs Harbour
Colac
Coolangatta
Cooranbong
Craigieburn
Cronulla
Dandenong
Darwin
Devonport
Drouin
Drummoyne
Dubbo
Echuca
Emerald
Esperance
Essendon
Ferntree
Forster
Frankston
Gawler
Geelong
Geraldton
Gladstone
Glenelg
Gold Coast
Goolwa
Goondiwindi
Gosford
Goulburn
Grafton
Gravatt
Griffith
Gundagai
Gympie
Hawkesbury
Hervey Bay
Hobart
Holsworthy
Homebush
Hornsby
Horsham
Jindalee
Kalgoorlie
Karratha
Kempsey
Kingaroy
Kurrajong
Launceston
Lismore
Lithgow
Lockyer
Longreach
Mackay
Maitland
Mandurah
Manus
Marrickville
Maryborough
Melbourne
Melton
Mildura
Mittagong
Moama
Moe
Monaro
Mooroopna
Morisset
Morwell
Mount Gambier
Mount Isa
Mudgee
Murray Bridge
Murrumbidgee
Muswellbrook
Nelson Bay
Newborough
Newcastle
Nowra
Nowra–Bomaderry
NSW
Oodnadatta
Orange
Parkes
Perth
Pilbara
Port Augusta
Port Hedland
Port Lincoln
Port Macquarie
Port Pirie
Portland
Prahran
Queanbeyan
Queenscliff
Queenslander
Queenslanders
Randwick
Rockhampton
Sale
Sanctuary Point
Shepparton
Singleton
St Georges Basin
Stanthorpe
Strathfield
Sunbury
Sunnybank
Sunshine Coast
Swan Hill
Sydney
Tamworth
Tannum Sands
Tarcoola
Taree
Toowoomba
Townsville
Traralgon
Trobe
Tuggeranong
Tumbarumba
Tumut
Tuncurry
Tweed Heads
Ulladulla
Ulverstone
Victor Harbor
Wagga
Wagga Wagga
Wangaratta
Warragul
Warrnambool
Warwick
Whyalla
Williamstown
Wodonga
Wollongong
Woomera
Wynyard
Yass
Yeppoon
