election,topic,median,upper,lower
1,1,-0.12180010136366212,0.937437068997288,-1.3299334872135
1,2,-0.41953720121229887,0.607802431230468,-1.722678506031531
1,3,-0.20796384725861233,0.8773099191234746,-1.4420826466087713
1,4,-0.0875756405009549,0.9104147416896082,-1.2037465013957527
1,5,-0.002875564200052083,1.0302776560211675,-1.2248266556623797
1,6,0.292392217201463,1.453842810795987,-0.7693848709652322
1,7,0.06412708145022995,1.1758571834037042,-1.1460420143987209
1,8,-0.8375802014780402,0.6930947650169427,-2.1076024181916493
1,9,-0.5041998434309094,0.4221236857523301,-1.306707515221373
1,10,-0.5410273603407498,0.5120532579224045,-1.8666287199769247
1,11,-0.07630142701708906,0.996858658338719,-1.322864242209039
1,12,-0.2749952007872135,0.682030863586558,-1.4953799150634541
1,13,0.16052912407434458,1.203193071404783,-0.8969259215689191
1,14,-0.07479282720761085,0.9777131200242462,-1.1447150869538296
1,15,-0.09586089191042645,1.0313593600318276,-1.2603820653525386
1,16,-0.30015006505986597,0.6761524798453995,-1.525449158034386
1,17,-0.09792878486512283,0.8774684042222264,-1.4930954640760339
1,18,-0.0352705243696132,1.0551189482908438,-1.36633531221003
1,19,0.42405824508678724,1.4549445933548104,-0.6142231898309067
1,20,-0.3255182738173519,0.6786527801610998,-1.4477689939340217
1,21,-0.06287861674492008,0.986611732758696,-1.1169995777268023
1,22,-0.1139538711410997,0.8823880881864312,-1.3667785419079235
1,23,-0.10409374544270342,0.8836382568278343,-1.263416405261111
1,24,0.005367426238400169,1.0979891256656191,-1.121387386384591
1,25,0.6704132787307502,2.083391329343321,-1.018377869953662
1,26,-0.03687267563995794,0.9050215960263535,-1.1255482038189886
1,27,-0.3193055039137211,0.7388492552850225,-1.3287631692604551
1,28,-0.3617447585116448,0.9562886462911153,-1.617749748503725
1,29,-0.03423396569191535,1.1243043774777215,-1.1614709230072044
1,30,0.14290992732417446,1.2231002722752171,-0.9459599707072648
1,31,-0.28166015093833385,0.77131069170611,-1.7098040158147705
1,32,0.25012139255113564,1.306535515273521,-0.825900448167999
1,33,0.0681540527142301,1.020207620977165,-0.9953283014844954
1,34,0.20652312935864617,1.7810714465938813,-1.458703046871805
1,35,-8.328037740619812e-5,1.1284376400927068,-1.1926224727521282
1,36,-0.12016811698006388,0.9350051556066183,-1.28886279246086
1,37,-0.05348817622793442,0.9906500087617329,-1.1927446329475635
1,38,-0.05332825542121131,0.9073549063471411,-1.2826981457419668
1,39,-0.023398396249145793,1.0247696438269216,-1.1604435410592873
1,40,-0.547124989296493,0.575080514568082,-1.6633703437536704
2,1,0.1343216660781542,1.3264607725632294,-1.037379118648143
2,2,-0.06096896254964915,1.1836983605076299,-1.4181736893642731
2,3,-0.1075455355883192,1.0706936619913008,-1.262615283675955
2,4,0.11201517834646463,1.3140194551131286,-1.1061809318036193
2,5,0.034566395199662814,1.3763139284758235,-1.2089335028386672
2,6,0.02256847788194788,1.2572664525060424,-1.2464659827769595
2,7,-0.7526331348746211,1.189331436964038,-2.38081277521279
2,8,0.09736959912908291,1.6920955943018696,-1.2665467165617112
2,9,-0.13058647172178228,1.1073468876747254,-1.4323378969132823
2,10,-0.13240411524422394,1.1682527200875035,-1.262567853225876
2,11,-0.020528590870525328,1.2660530249366162,-1.0917704407093183
2,12,-0.2660690522499809,1.102260213954191,-1.4682728213821026
2,13,0.06609859981067051,1.2201822686326964,-1.2274432899093655
2,14,-0.12931695333552706,0.9785327967309434,-1.4000465616331454
2,15,0.22298865971485837,1.4244154242885423,-0.9678797244618924
2,16,-0.41812926068930056,0.8751067698194828,-1.5471304101112073
2,17,-0.06277601966764527,1.1326057460065346,-1.2985094297569053
2,18,0.024740687979787346,1.3549667646568364,-1.3567370450793992
2,19,-0.0647458487568949,1.2305322772794698,-1.297303029631141
2,20,0.0474003477326109,1.5202198730658631,-1.385063190604483
2,21,0.036568721909026936,1.266347671698254,-1.2143950534767942
2,22,0.06369688124261683,1.4197459106215895,-1.1174269464366067
2,23,-0.12450654694576238,1.0981900408768732,-1.333670513467569
2,24,0.009368261475418665,1.1779840896103817,-1.2333211975555909
2,25,-0.011156876629929147,1.8184363791957066,-1.7379413333804459
2,26,-0.045475803409712606,1.2484243793062308,-1.35329024461595
2,27,0.128930404873208,1.503426480853586,-1.4573389986205658
2,28,0.11854178294999729,1.552236545707144,-1.2600068464945577
2,29,-0.06781221842124861,1.2134540235166684,-1.2384452279643987
2,30,-0.14029167726566194,1.1418346860193653,-1.3176748553558637
2,31,0.277431357557582,1.5493699255628475,-1.235521252864451
2,32,0.20132225833167117,1.432045782352228,-1.0645585444254884
2,33,-0.12378887737290367,1.0916314411393362,-1.3335202199869993
2,34,-0.37785859912354364,1.065099234244037,-1.6730797917756448
2,35,0.11688068354778844,1.3368073005597192,-1.0728808144118007
2,36,-0.2987952251226226,1.034285502493,-1.5760430987877228
2,37,-0.009340742648554744,1.120236082840254,-1.1340331419194714
2,38,-0.18577941059282344,1.1764127121831243,-1.4196927046716321
2,39,-0.05606564760604754,1.0943679185816442,-1.25959756191391
2,40,0.1725958695148047,1.6831763729002909,-1.4737173397995822
3,1,0.07004614548667856,0.7552761043887615,-0.5533576979244614
3,2,-0.20087786703195074,0.41375468420724687,-0.8622960058521727
3,3,-0.04798879059937096,0.5768218197134776,-0.6678301375285054
3,4,-0.028712739319876224,0.5918300899153439,-0.6786687042198654
3,5,0.0463319517887961,0.6638457954961747,-0.6204862182219382
3,6,0.11341280500149972,0.7964786122182261,-0.5867245111647724
3,7,0.41084308923741825,1.7626067904393508,-1.0457063485328766
