government,topic,median,upper,lower
1,1,-1.7486735271794718,-1.3224578095497568,-2.2303492165942935
1,2,-1.9219853631622714,-1.517481647598137,-2.3309739669346676
1,3,-1.0293195616012083,-0.6947513372627951,-1.3536141767724776
1,4,-1.7778701446332155,-1.34712127755205,-2.3121607390745256
1,5,-2.033026111965637,-1.5316720918478721,-2.5381547986264055
1,6,-2.1627486885099305,-1.7480874044884618,-2.6012772218280222
1,7,-1.967659065454772,-1.4051761153023756,-2.5145339308816808
1,8,-1.3570413328441089,-1.0429495596502807,-1.7435663500482554
1,9,-2.287930256525212,-1.9051415459784067,-2.841540334833372
1,10,-1.086415225110542,-0.5794764254503406,-1.5001027626552974
1,11,-2.0323693589796763,-1.6079787164376673,-2.450953851688078
1,12,-1.8220600161906018,-1.4545222372296869,-2.255838155657268
1,13,-1.5244034605088586,-1.103552365457798,-1.9129053232431865
1,14,-1.8871207609632257,-1.504730661700089,-2.25576470029492
1,15,-1.6984687725015213,-1.2324627299130138,-2.1473432567485324
1,16,-1.2806372871843625,-0.5785819281390644,-1.6559419778046853
1,17,-1.514559204501864,-1.1636593126520822,-1.9454493387241079
1,18,-2.2886791259854418,-1.9157198949151883,-2.728736346787536
1,19,-1.4516758053664929,-0.7950712000390847,-1.8730954634041646
1,20,-2.217342990134832,-1.8626872255480957,-2.6496167280395824
1,21,0.08222644467745541,0.8507932420996256,-0.5441639169402309
1,22,-1.8546096940121508,-1.5015711627801995,-2.340652417347621
1,23,-1.0490106422389545,-0.3676307007713301,-1.4780383546077747
1,24,-1.7419483593232645,-1.310061219715349,-2.1984836765404885
1,25,-1.4183735462898048,-1.0024072861509574,-1.9449577501597117
1,26,-2.432735726161506,-1.9614904872198904,-2.8714490356371694
1,27,-1.961992758916975,-1.5928193520912046,-2.413772759465071
1,28,-1.9377495412924786,-1.3767255482660046,-2.5065346125779393
1,29,-1.9078538713440216,-1.467547745110387,-2.3284292345257707
1,30,-1.1983987105196139,-0.5423560255877691,-1.6452194691045539
1,31,-1.5518284918949155,-1.158599117958711,-1.94289762777908
1,32,-1.1574300045595127,-0.6364527451718242,-1.6476503461092533
1,33,-1.3481784592537442,-0.8997431877780251,-1.718651986485733
1,34,-1.8223776875013695,-1.4417998300160888,-2.328078003311203
1,35,-1.087561022168161,-0.5036802474031913,-1.7017144067998533
1,36,-0.3550036767735836,0.06076766849221251,-1.105651563169661
1,37,-1.5524129005356921,-1.1207553878249763,-1.9308291560706985
1,38,-1.2800926200722338,-0.6494781395651762,-1.667402675434224
1,39,-2.2778686011481897,-1.8456961056842733,-2.653958008313212
1,40,-1.4968560290354547,-0.854589024380181,-1.9646736640652298
1,41,-2.039681773882417,-1.6537819294009526,-2.4312691337643417
1,42,-0.9393573284414396,-0.5511615862380812,-1.3317446154648616
1,43,-1.995361060860239,-1.524895722536072,-2.4353287874030927
1,44,-0.29027078706306997,0.4260771310747356,-1.1181250922347756
1,45,-2.3885620626188944,-1.931207388959029,-2.754716225157449
1,46,-1.361471471642301,-0.7508846752207767,-1.7331575222709594
1,47,-2.2931846483773324,-1.8545361163134853,-2.7572976765004644
1,48,-1.6103577843510128,-1.1755124202182152,-2.012524248566704
1,49,-1.75338179937374,-1.2313963183155636,-2.3621377468584197
1,50,-1.7665427881446008,-1.2927357721073063,-2.2458992496519614
1,51,-0.6779826220078246,-0.1725222340976162,-1.3382704404110592
1,52,-1.8406232236199438,-1.4423499907398138,-2.3172448389951787
1,53,-2.320912761017028,-1.9121692959048797,-2.7576514497993876
1,54,-1.3664344193519768,-1.0356540387745217,-1.7384962378202355
1,55,-1.1762666274339544,-0.7298291360075488,-1.596963535291811
1,56,-2.0684855459865945,-1.5574785879676354,-2.522632461884766
1,57,-2.055069334781986,-1.5433273463102484,-2.731882783640869
1,58,-1.4879126658592163,-1.0630552014315626,-1.8861240100670489
