date,Chamber,PdfDocId,chamber_type,URL,file_name
1907-11-19,Legislative Assembly,HANSARD-290296563-3185,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3185,NSW-1907-11-19-A.pdf
1907-11-14,Legislative Assembly,HANSARD-290296563-3184,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3184,NSW-1907-11-14-A.pdf
1907-11-13,Legislative Assembly,HANSARD-290296563-3183,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3183,NSW-1907-11-13-A.pdf
1907-11-13,Legislative Council,HANSARD-290296563-7075,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7075,NSW-1907-11-13-C.pdf
1907-11-12,Legislative Assembly,HANSARD-290296563-3182,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3182,NSW-1907-11-12-A.pdf
1907-11-07,Legislative Assembly,HANSARD-290296563-3181,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3181,NSW-1907-11-07-A.pdf
1907-11-07,Legislative Council,HANSARD-290296563-7074,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7074,NSW-1907-11-07-C.pdf
1907-11-06,Legislative Assembly,HANSARD-290296563-3180,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3180,NSW-1907-11-06-A.pdf
1907-11-06,Legislative Council,HANSARD-290296563-7073,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7073,NSW-1907-11-06-C.pdf
1907-11-05,Legislative Assembly,HANSARD-290296563-3179,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3179,NSW-1907-11-05-A.pdf
1907-10-31,Legislative Assembly,HANSARD-290296563-3178,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3178,NSW-1907-10-31-A.pdf
1907-10-31,Legislative Council,HANSARD-290296563-7072,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7072,NSW-1907-10-31-C.pdf
1907-10-30,Legislative Assembly,HANSARD-290296563-3177,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3177,NSW-1907-10-30-A.pdf
1907-10-30,Legislative Council,HANSARD-290296563-7071,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7071,NSW-1907-10-30-C.pdf
1907-10-29,Legislative Assembly,HANSARD-290296563-3176,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3176,NSW-1907-10-29-A.pdf
1907-10-24,Legislative Assembly,HANSARD-290296563-3175,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3175,NSW-1907-10-24-A.pdf
1907-10-23,Legislative Council,HANSARD-290296563-7070,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7070,NSW-1907-10-23-C.pdf
1907-10-22,Legislative Assembly,HANSARD-290296563-3174,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3174,NSW-1907-10-22-A.pdf
1907-10-17,Legislative Assembly,HANSARD-290296563-3173,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3173,NSW-1907-10-17-A.pdf
1907-10-16,Legislative Assembly,HANSARD-290296563-3172,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3172,NSW-1907-10-16-A.pdf
1907-10-15,Legislative Assembly,HANSARD-290296563-3171,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3171,NSW-1907-10-15-A.pdf
1907-10-10,Legislative Assembly,HANSARD-290296563-3170,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3170,NSW-1907-10-10-A.pdf
1907-10-10,Legislative Council,HANSARD-290296563-7069,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7069,NSW-1907-10-10-C.pdf
1907-10-09,Legislative Assembly,HANSARD-290296563-3169,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3169,NSW-1907-10-09-A.pdf
1907-10-09,Legislative Council,HANSARD-290296563-7068,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7068,NSW-1907-10-09-C.pdf
1907-10-02,Legislative Assembly,HANSARD-290296563-3168,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3168,NSW-1907-10-02-A.pdf
1907-10-02,Legislative Council,HANSARD-290296563-7067,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7067,NSW-1907-10-02-C.pdf
1907-07-11,Legislative Assembly,HANSARD-290296563-3167,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3167,NSW-1907-07-11-A.pdf
1907-07-11,Legislative Council,HANSARD-290296563-7066,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7066,NSW-1907-07-11-C.pdf
1907-07-10,Legislative Assembly,HANSARD-290296563-3166,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3166,NSW-1907-07-10-A.pdf
1907-07-09,Legislative Assembly,HANSARD-290296563-3165,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3165,NSW-1907-07-09-A.pdf
1907-07-09,Legislative Council,HANSARD-290296563-7065,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7065,NSW-1907-07-09-C.pdf
