topic;terms
1;senate, representatives, parliament, death, senators
2;parliament, rights, governor_general, speech, governor
3;prime_minister, prime, public, leader, ministers
4;budget, per_cent, increase, economic, unemployment
5;family, children, women, families, parents
6;petitioners, petition, tax, pray, assembled
7;question, noes, ayes, chairman, committee
8;department, service, public, office, officers
9;vote, electoral, election, voting, votes
10;commission, evidence, royal, law, person
11;court, power, constitution, parliament, powers
12;japan, treaty, japanese, germany, world
13;vietnam, countries, time, world, south
14;services, question, department, answer, program
15;served, family, parliament, service, sympathy
16;question, notice, department, answer, information
17;security, world, time, support, iraq
18;british, great_britain, war, country, nations
19;per_cent, ad, tariff, val, subitem
20;railway, money, expenditure, revenue, new_south_wales
21;million, expenditure, increase, estimated, budget
22;war, matter, time, country, production
23;defence, service, army, forces, war
24;na, time, community, million, support
25;duty, tariff, duties, per_cent, industry
26;committee, report, public, parliament, national
27;tax, income, taxation, treasurer, pay
28;question, time, learned, desire, matter
29;industrial, union, workers, arbitration, unions
30;tax, carbon, billion, energy, million
31;amendments, section, subsection, schedule, person
32;industry, farmers, dairy, timber, butter
33;million, per_cent, main, services, regional
34;party, country, leader, policy, parliament
35;community, time, electorate, support, local
36;health, medical, hospital, scheme, care
37;pension, pensions, pensioners, week, service
38;aboriginal, rights, land, human, community
39;million, funding, support, time, electorate
40;war, ill, soldiers, matter, country
41;land, territory, water, northern_territory, development
42;business, time, late, queensland, oclock
43;wheat, growers, board, industry, farmers
44;industry, board, bounty, position, country
45;parliament, time, committee, matter, debate
46;life, private, public, insurance, companies
47;wool, industry, growers, scheme, time
48;transport, road, roads, aircraft, aviation
49;clause, provision, committee, measure, words
50;industry, trade, overseas, time, development
51;education, schools, students, school, university
52;bank, housing, money, banking, commonwealth_bank
53;sugar, shipping, ships, vessels, ship
54;per_cent, industry, time, policy, program
55;defence, naval, military, time, navy
56;president, international, convention, trade, agreement
57;oil, energy, nuclear, fuel, industry
58;industry, research, meat, export, wine
59;wul, per_cent, commission, governments, industry
60;television, broadcasting, stations, radio, commercial
